time,ax,ay,az,atotal
0.00401616096496582,0.17,0.06,-0.17,0.24
0.0055370330810546875,0.16,0.02,-0.24,0.28
0.015363216400146484,0.19,0.12,-0.23,0.32
0.0253143310546875,0.31,-0.08,-0.31,0.44
0.0352330207824707,-0.01,0.05,-0.1,0.11
0.04491615295410156,-0.11,0.04,0.03,0.12
0.055074214935302734,-0.02,-0.01,0.11,0.11
0.06547307968139648,-0.1,0.0,0.12,0.15
0.07739734649658203,-0.12,0.03,0.13,0.17
0.10305213928222656,-0.03,0.01,0.16,0.16
0.10493922233581543,0.02,-0.02,0.16,0.16
0.10608434677124023,0.0,-0.02,0.1,0.1
0.12436628341674805,0.07,0.0,0.09,0.11
0.12579011917114258,0.17,-0.02,0.09,0.19
0.1407790184020996,0.11,-0.03,0.07,0.13
0.14411616325378418,0.01,-0.02,0.09,0.09
0.15863800048828125,0.02,-0.02,0.08,0.08
0.16412019729614258,-0.01,-0.01,0.03,0.03
0.17630624771118164,0.01,0.0,0.02,0.02
0.20667409896850586,0.02,0.02,0.05,0.05
0.20869922637939453,0.01,0.02,0.06,0.06
0.21003317832946777,0.1,0.02,0.11,0.15
0.22396421432495117,0.17,0.02,0.13,0.21
0.22531604766845703,0.14,0.01,0.1,0.17
0.24040603637695312,0.08,0.01,0.1,0.12
0.24330711364746094,0.06,0.02,0.15,0.16
0.26133108139038086,0.09,0.01,0.07,0.11
0.263247013092041,0.16,0.0,-0.02,0.16
0.2736520767211914,0.23,-0.01,-0.01,0.23
0.30623722076416016,0.26,0.01,0.05,0.26
0.30810117721557617,0.21,0.02,0.12,0.24
0.3094761371612549,0.16,0.0,0.16,0.22
0.3248112201690674,0.17,-0.05,0.16,0.23
0.32622432708740234,0.14,-0.06,0.12,0.19
0.3406391143798828,0.1,-0.04,0.08,0.13
0.3426332473754883,0.12,-0.03,0.09,0.15
0.35738515853881836,0.19,-0.02,0.11,0.22
0.3624911308288574,0.19,-0.01,0.1,0.21
0.37288808822631836,0.14,0.03,0.05,0.15
0.40460634231567383,0.01,-0.01,-0.02,0.02
0.4063911437988281,-0.16,0.02,-0.07,0.17
0.4077582359313965,-0.2,0.02,-0.14,0.24
0.42467617988586426,-0.05,-0.04,0.01,0.06
0.4260902404785156,0.19,-0.07,0.14,0.24
0.4406912326812744,0.26,-0.03,0.13,0.29
0.4421532154083252,0.16,0.0,0.08,0.17
0.45783233642578125,0.0,0.02,0.04,0.04
0.46228504180908203,-0.15,0.08,0.04,0.17
0.4759082794189453,-0.22,0.05,0.05,0.23
0.48499202728271484,-0.16,0.04,0.13,0.21
0.5063362121582031,-0.03,0.01,0.19,0.19
0.5079841613769531,0.01,0.0,0.17,0.17
0.5114021301269531,0.07,0.03,0.07,0.1
0.5253362655639648,0.18,0.03,-0.03,0.18
0.5312600135803223,0.19,0.01,-0.18,0.26
0.5411701202392578,0.13,0.04,-0.24,0.27
0.5510783195495605,0.06,0.07,-0.26,0.27
0.5612730979919434,-0.04,0.05,-0.11,0.12
0.5742261409759521,-0.08,0.03,0.07,0.11
0.5837152004241943,-0.05,0.02,0.16,0.16
0.6054363250732422,0.01,-0.01,0.2,0.2
0.6070222854614258,0.08,-0.03,0.2,0.21
0.6106581687927246,0.07,-0.02,0.21,0.22
0.6252202987670898,0.06,-0.02,0.17,0.18
0.6305351257324219,0.12,0.01,0.06,0.13
0.6405000686645508,0.14,0.02,-0.04,0.14
0.6504321098327637,0.06,-0.02,-0.07,0.09
0.6604681015014648,0.05,-0.02,-0.02,0.05
0.6732091903686523,0.13,-0.02,0.11,0.17
0.6823410987854004,0.2,-0.02,0.21,0.29
0.7058582305908203,0.19,0.0,0.21,0.28
0.7073931694030762,0.04,0.02,0.15,0.15
0.7098512649536133,-0.1,0.0,0.12,0.15
0.7251172065734863,-0.05,-0.01,0.1,0.11
0.7297911643981934,0.06,-0.04,0.05,0.08
0.739739179611206,0.2,-0.03,0.06,0.21
0.7497692108154297,0.47,-0.05,0.13,0.49
0.7595751285552979,0.66,-0.06,0.16,0.68
0.7702162265777588,0.55,0.03,0.11,0.56
0.7820572853088379,0.23,0.09,0.07,0.25
0.8030142784118652,-0.07,0.12,0.04,0.14
0.8046660423278809,-0.24,0.13,0.0,0.27
0.8091282844543457,-0.25,0.16,0.0,0.29
0.8253540992736816,-0.19,0.11,-0.01,0.21
0.8290741443634033,-0.33,0.13,-0.15,0.38
0.8405711650848389,-0.53,0.11,-0.21,0.58
0.8489990234375,-0.61,0.09,-0.13,0.63
0.8592510223388672,-0.53,-0.01,-0.25,0.58
0.8714380264282227,-0.13,0.09,-0.25,0.29
0.8813080787658691,0.19,0.12,-0.18,0.28
0.9126081466674805,0.27,0.06,-0.1,0.29
0.914154052734375,0.06,-0.04,-0.15,0.16
0.9158463478088379,-0.03,-0.11,-0.21,0.23
0.9224741458892822,0.23,-0.03,-0.06,0.23
0.9282681941986084,0.37,-0.06,0.07,0.38
0.9409523010253906,0.24,-0.03,0.1,0.26
0.9483380317687988,0.15,0.09,0.13,0.21
0.9580252170562744,0.2,0.06,0.05,0.21
0.9685392379760742,0.28,-0.05,-0.18,0.33
0.9803881645202637,0.31,-0.07,-0.32,0.45
1.0105271339416504,0.19,-0.06,-0.33,0.38
1.012263298034668,0.2,0.03,-0.11,0.23
1.0137271881103516,0.32,0.01,0.12,0.34
