time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001017,-1.5743,-1.4679,-2.8603,3.580
0.011639,-1.2209,-1.1068,-1.5465,2.260
0.021022,-0.2132,-0.8827,0.3501,0.973
0.030918,0.7776,-0.5348,2.5541,2.723
0.040856,1.4144,-0.0783,3.4035,3.687
0.051369,1.4620,-0.0310,2.9710,3.311
0.060845,0.8506,0.1430,1.7180,1.922
0.070873,0.3632,0.3143,0.1456,0.502
0.081130,0.1624,0.4711,-0.8479,0.983
0.091712,0.0816,0.3254,-1.3288,1.370
0.101045,-0.1463,0.1337,-1.2088,1.225
0.111185,-0.3315,0.0009,-1.1378,1.185
0.121128,-0.0808,0.0867,-1.2754,1.281
0.131835,0.2942,0.1051,-0.8550,0.910
0.140989,0.4155,-0.1373,0.0192,0.438
0.151036,0.8516,-0.3755,0.4926,1.053
0.161024,0.6884,0.0102,1.4570,1.611
0.171850,0.2571,0.2087,1.5355,1.571
0.181441,0.2420,0.1670,1.3524,1.384
0.193965,0.5562,0.0020,0.5950,0.814
0.201376,0.2136,-0.0810,0.0677,0.238
0.211681,-0.0280,-0.2339,-0.2743,0.362
0.221293,0.0040,-0.3692,-0.6851,0.778
0.235423,0.0354,-0.4325,-1.1243,1.205
0.242432,-0.0347,-0.4110,-0.7961,0.897
0.252064,0.1801,-0.4604,-0.8585,0.991
0.271188,0.4640,-0.4648,-0.6154,0.900
0.272426,0.7011,-0.4661,-0.3623,0.917
0.281124,0.8031,-0.4284,-0.2958,0.957
0.291490,1.0055,-0.2556,-0.3578,1.097
0.301048,1.3551,-0.1252,-0.1654,1.371
0.311086,1.4309,-0.1460,-0.0721,1.440
0.321042,1.3374,-0.2179,-0.4421,1.425
0.331847,1.1914,-0.1698,-0.8327,1.463
0.341114,1.3333,-0.2231,-1.0751,1.727
0.351029,1.4202,-0.2595,-0.6663,1.590
0.361168,1.3881,-0.3588,-0.3826,1.484
0.373089,1.3313,-0.3474,-0.3931,1.431
0.381133,1.2918,-0.3550,-0.7873,1.554
0.391040,1.0669,-0.2750,-0.7401,1.327
0.401114,0.9597,-0.2442,-0.8100,1.279
0.411881,0.8645,-0.1657,-1.0274,1.353
0.421393,0.6454,-0.0010,-1.2924,1.445
0.431085,0.5056,0.0924,-1.6733,1.750
0.441123,0.3411,0.1056,-1.7762,1.812
0.451500,0.0656,0.0316,-1.5591,1.561
0.461083,-0.0530,-0.0198,-1.3064,1.308
0.471149,-0.0691,-0.1167,-1.0284,1.037
0.481207,-0.0688,-0.3374,-0.2742,0.440
0.491954,-0.1232,-0.3879,0.5034,0.647
0.501131,-0.2702,-0.2411,0.9380,1.005
0.511659,-0.2904,0.0107,0.8404,0.889
0.528990,-0.3751,0.1688,0.5442,0.682
0.532114,-0.3938,0.4098,0.3651,0.676
0.541305,-0.3486,0.6578,0.4419,0.866
0.551089,-0.3078,0.9130,0.6375,1.155
0.561182,-0.3210,0.9875,0.7453,1.278
0.572010,-0.3012,0.9483,0.8535,1.311
0.581075,-0.3456,0.8850,1.0605,1.424
0.591155,-0.3220,0.8973,1.1988,1.532
0.601138,-0.2867,0.9070,1.2184,1.546
0.611565,-0.2589,0.9241,1.2370,1.566
0.621685,-0.1800,0.8708,1.4019,1.660
0.631316,-0.1542,0.9640,1.5357,1.820
0.641536,-0.0847,1.0561,1.7856,2.076
0.652167,-0.0040,1.1355,2.0929,2.381
0.661159,0.0992,1.1708,2.3677,2.643
0.671120,-0.0054,1.1514,2.4114,2.672
0.681318,-0.1963,1.1067,2.0651,2.351
0.693276,-0.4300,1.0203,1.6268,1.968
0.701177,-0.4905,1.0295,1.3177,1.743
0.711090,-0.4602,1.0024,1.1559,1.598
0.721146,-0.5520,0.9082,1.0025,1.461
0.732006,-0.5305,0.8060,0.9555,1.358
0.741261,-0.5230,0.6949,0.9261,1.270
0.751269,-0.5980,0.6124,0.7663,1.149
0.761292,-0.6587,0.4885,0.5251,0.974
0.772414,-0.7077,0.4403,0.3014,0.886
0.787046,-0.6190,0.5267,0.1743,0.831
0.791991,-0.4355,0.5895,0.2133,0.763
0.802936,-0.3257,0.5391,0.2421,0.675
0.812640,-0.2870,0.4047,0.1711,0.525
0.822364,-0.3194,0.2269,0.1581,0.422
0.831336,-0.3052,0.0572,0.2531,0.401
0.841292,-0.1539,0.0449,0.2897,0.331
0.851604,0.0467,0.0731,0.3857,0.395
0.863343,0.2269,0.0723,0.6589,0.701
0.871233,0.3091,0.0699,0.7646,0.828
0.881491,0.4044,0.0548,0.6519,0.769
0.892156,0.3748,0.0073,0.3604,0.520
0.901561,0.2790,-0.1490,-0.0009,0.316
0.914793,0.1763,-0.2934,-0.4213,0.543
0.921358,0.1153,-0.4325,-0.7517,0.875
0.936122,0.0645,-0.6328,-0.8436,1.057
0.941306,-0.0169,-0.8349,-0.7057,1.093
0.951107,0.0180,-0.8824,-0.4462,0.989
0.961217,0.1587,-0.8572,-0.1645,0.887
0.972061,0.2182,-0.9303,0.0887,0.960
0.981434,0.2096,-0.9963,0.1052,1.024
0.991479,0.1275,-0.9573,-0.2344,0.994
1.001091,-0.0381,-0.9102,-0.6746,1.134
1.011572,-0.0763,-0.8919,-0.9282,1.290
1.021046,-0.0093,-0.8999,-0.9538,1.311
1.031049,0.1038,-0.7765,-0.8099,1.127
1.041778,0.2913,-0.6601,-0.5748,0.922
1.052040,0.4733,-0.6022,-0.2982,0.822
1.061867,0.5048,-0.5752,-0.0701,0.768
1.071479,0.4489,-0.4807,-0.0488,0.660
1.081222,0.3676,-0.3669,-0.2448,0.574
1.091911,0.3386,-0.2326,-0.4318,0.596
1.101459,0.3219,0.0115,-0.5992,0.680
1.111470,0.3752,0.2190,-0.6973,0.822
