time,ax,ay,az,atotal
0.009092092514038086,0.33,-0.11,-0.23,0.41
0.019102096557617188,0.77,0.02,-0.64,1.0
0.028645992279052734,0.5,-0.12,-0.38,0.63
0.055171966552734375,0.0,0.01,-0.02,0.02
0.05649399757385254,-0.14,0.03,0.07,0.15
0.058039188385009766,0.0,0.01,-0.07,0.07
0.07656621932983398,-0.01,0.02,-0.07,0.07
0.07802605628967285,-0.11,0.02,0.0,0.11
0.0938260555267334,-0.16,0.03,0.06,0.17
0.09809207916259766,-0.04,0.03,0.18,0.18
0.10977315902709961,0.08,-0.03,0.3,0.31
0.11811709403991699,0.14,-0.05,0.16,0.21
0.1278820037841797,0.19,-0.03,0.05,0.19
0.15869617462158203,0.11,-0.01,0.03,0.11
0.1601419448852539,0.04,0.0,0.07,0.08
0.16121721267700195,-0.03,0.03,0.11,0.11
0.17763805389404297,-0.08,0.03,0.19,0.2
0.1789999008178711,-0.09,0.02,0.19,0.21
0.19401311874389648,-0.06,0.02,0.13,0.14
0.19741296768188477,-0.01,0.03,0.08,0.08
0.21023893356323242,0.06,0.03,-0.02,0.06
0.21720600128173828,0.08,0.03,-0.08,0.11
0.22816801071166992,0.09,0.03,-0.08,0.12
0.2579789161682129,0.1,0.02,-0.03,0.1
0.2592480182647705,0.17,0.0,0.06,0.18
0.26025915145874023,0.21,-0.03,0.14,0.25
0.27686595916748047,0.18,-0.03,0.15,0.23
0.27822208404541016,0.09,0.0,0.14,0.16
0.2939760684967041,-0.04,-0.01,0.09,0.09
0.29654502868652344,-0.06,0.0,0.09,0.1
0.31054210662841797,0.02,0.03,0.1,0.1
0.31649017333984375,0.08,0.04,0.08,0.12
0.32669901847839355,0.08,-0.03,0.05,0.09
0.3671410083770752,0.07,-0.03,0.06,0.09
0.3682210445404053,0.03,-0.01,0.04,0.05
0.36925220489501953,-0.04,0.0,-0.01,0.04
0.37349700927734375,-0.1,0.03,-0.04,0.11
0.393726110458374,-0.13,0.04,-0.04,0.14
0.3951249122619629,-0.18,0.01,0.02,0.18
0.4108729362487793,-0.23,0.04,0.07,0.24
0.412384033203125,-0.25,0.06,0.1,0.27
0.4262981414794922,-0.22,0.05,0.04,0.22
0.4278101921081543,-0.19,0.07,-0.02,0.2
0.466306209564209,-0.18,0.07,0.0,0.19
0.4674339294433594,-0.12,0.02,0.02,0.12
0.4686460494995117,-0.06,-0.01,-0.01,0.06
0.4739971160888672,0.01,0.01,-0.02,0.02
0.47501516342163086,0.05,-0.02,0.0,0.05
0.49405407905578613,0.04,0.01,0.0,0.04
0.49545812606811523,0.19,0.02,0.09,0.21
0.5107312202453613,0.31,-0.04,0.16,0.35
0.5149111747741699,0.16,-0.06,0.17,0.24
0.5261480808258057,-0.02,-0.02,0.13,0.13
0.5580430030822754,0.01,0.02,0.11,0.11
0.5593290328979492,0.09,0.01,0.1,0.13
0.5603351593017578,0.08,-0.01,0.09,0.12
0.579704999923706,0.03,0.02,0.07,0.07
0.5811450481414795,0.03,0.03,0.1,0.1
0.5935530662536621,0.03,0.0,0.11,0.11
0.5949480533599854,-0.04,0.01,0.08,0.09
0.6106240749359131,-0.13,0.05,0.08,0.16
0.6142680644989014,-0.18,0.03,0.07,0.19
0.6254091262817383,-0.17,0.02,-0.01,0.17
0.6622419357299805,-0.2,0.1,-0.05,0.22
0.6639950275421143,-0.22,0.13,0.04,0.25
0.6650700569152832,-0.18,0.07,0.12,0.22
0.6789200305938721,-0.21,-0.01,0.09,0.22
0.6802201271057129,-0.2,0.01,-0.04,0.2
0.6942839622497559,-0.11,0.04,-0.23,0.25
0.6957080364227295,-0.02,0.13,-0.31,0.33
0.7112221717834473,-0.12,0.16,-0.16,0.25
