time,ax,ay,az,atotal
0.016164064407348633,1.99,0.33,-0.33,2.04
0.0164339542388916,0.58,-1.39,0.55,1.6
0.031507015228271484,-0.38,0.13,-0.09,0.41
0.0317690372467041,-0.2,0.15,-0.3,0.39
0.04793906211853027,-0.08,-0.09,-0.16,0.2
0.06478595733642578,0.01,0.03,-0.17,0.17
0.06505298614501953,-0.2,0.01,-0.09,0.21
0.08207106590270996,-0.25,0.0,-0.15,0.29
0.0823371410369873,-0.15,0.01,-0.12,0.19
0.09804987907409668,-0.01,0.03,-0.04,0.05
0.11531496047973633,0.02,-0.01,-0.01,0.02
0.11557602882385254,0.0,-0.02,-0.03,0.03
0.13146710395812988,0.01,-0.04,-0.02,0.04
0.131727933883667,0.03,-0.03,0.02,0.04
0.1478888988494873,0.12,-0.01,0.08,0.14
0.16474199295043945,0.2,-0.03,0.13,0.24
0.16500496864318848,0.15,0.0,0.12,0.19
0.18190312385559082,0.06,0.01,0.06,0.08
0.18214797973632812,0.06,0.0,0.02,0.06
0.19791007041931152,0.06,0.0,-0.02,0.06
0.21505498886108398,0.03,-0.01,-0.07,0.07
0.21532702445983887,-0.04,-0.01,-0.08,0.09
0.231428861618042,-0.09,-0.03,-0.1,0.13
0.23169207572937012,-0.11,-0.01,-0.09,0.14
0.2479231357574463,-0.1,-0.01,-0.07,0.12
0.2645418643951416,-0.04,0.0,-0.04,0.05
0.2647969722747803,0.0,0.0,-0.02,0.02
0.2819998264312744,0.04,0.01,-0.01,0.04
0.28226804733276367,0.07,0.0,-0.02,0.07
0.2979910373687744,0.05,-0.03,0.02,0.06
0.31506896018981934,-0.07,-0.01,-0.01,0.07
0.3153109550476074,-0.07,-0.03,0.01,0.07
0.3314809799194336,-0.06,-0.05,0.08,0.11
0.33173108100891113,-0.13,-0.05,0.11,0.17
0.3479878902435303,-0.15,-0.04,0.13,0.2
0.3500220775604248,-0.09,-0.04,0.19,0.21
0.36469006538391113,-0.03,-0.02,0.2,0.2
0.38201308250427246,-0.04,0.08,0.26,0.27
0.382274866104126,0.09,0.04,0.47,0.48
0.3980591297149658,0.12,-0.08,0.44,0.46
0.4147379398345947,-0.11,-0.15,0.37,0.41
0.41500401496887207,-0.2,-0.18,0.26,0.37
0.43133091926574707,-0.24,-0.11,-0.06,0.27
0.4315941333770752,-0.27,-0.03,-0.25,0.36
0.447983980178833,-0.2,-0.02,-0.36,0.41
0.4499061107635498,-0.07,-0.02,-0.33,0.33
0.46474289894104004,0.02,0.01,-0.28,0.28
0.4820539951324463,0.14,-0.04,-0.08,0.16
0.4823191165924072,0.08,-0.09,0.17,0.2
0.49814701080322266,-0.08,-0.02,0.27,0.28
0.5144751071929932,-0.01,0.05,0.22,0.22
0.5147421360015869,0.18,0.02,0.33,0.37
0.5313980579376221,0.27,-0.04,0.39,0.47
0.5316629409790039,0.33,-0.05,0.38,0.5
0.5479838848114014,0.41,-0.04,0.39,0.56
0.5496881008148193,0.41,-0.06,0.37,0.55
0.5645530223846436,0.41,-0.08,0.31,0.52
0.5819129943847656,0.42,-0.16,0.4,0.6
0.5821599960327148,0.43,-0.16,0.51,0.68
0.5983278751373291,0.39,-0.11,0.66,0.77
0.6001918315887451,0.37,-0.14,0.58,0.7
0.6145651340484619,0.37,-0.15,0.45,0.6
