time,ax,ay,az,atotal
0.003468036651611328,-0.14,-0.03,0.39,0.41
0.01373291015625,0.03,0.85,-0.38,0.93
0.023406982421875,-0.1,0.79,-0.48,0.92
0.03612089157104492,0.0,-0.01,0.11,0.11
0.04346585273742676,0.06,-0.34,0.43,0.55
0.06650781631469727,0.01,0.0,0.05,0.05
0.06814384460449219,0.08,0.09,-0.29,0.31
0.07282400131225586,0.08,0.12,-0.24,0.27
0.08391690254211426,0.07,0.09,-0.14,0.18
0.09313201904296875,0.01,-0.01,-0.01,0.01
0.10298490524291992,0.02,-0.04,0.07,0.08
0.1129307746887207,-0.03,0.01,0.14,0.14
0.1229088306427002,0.01,-0.04,0.12,0.12
0.1357407569885254,0.05,-0.05,0.02,0.07
0.1426708698272705,0.06,0.01,0.07,0.09
0.16609477996826172,0.07,-0.06,0.15,0.17
0.1677718162536621,-0.03,-0.05,0.11,0.12
0.17238187789916992,-0.01,0.0,0.08,0.08
0.18456792831420898,0.06,-0.01,-0.03,0.06
0.19229602813720703,-0.01,0.04,-0.08,0.09
0.2020559310913086,-0.07,0.07,-0.05,0.11
0.21206188201904297,-0.11,0.06,-0.06,0.13
0.22178173065185547,-0.12,0.05,-0.07,0.14
0.23508501052856445,-0.06,0.07,0.04,0.1
0.2424030303955078,-0.04,-0.03,0.1,0.11
0.2744569778442383,-0.01,-0.06,0.08,0.1
0.2761077880859375,0.02,-0.02,0.13,0.13
0.27771902084350586,0.01,-0.04,0.13,0.13
0.28130102157592773,-0.04,-0.06,-0.02,0.07
0.3007528781890869,0.03,-0.03,-0.14,0.14
0.30225586891174316,0.17,0.03,-0.19,0.25
0.31668686866760254,0.16,0.03,-0.06,0.17
0.3212149143218994,0.03,0.07,0.11,0.13
0.33095288276672363,-0.07,0.01,0.18,0.19
0.34160590171813965,-0.09,-0.08,0.14,0.18
0.3726997375488281,-0.15,-0.06,0.08,0.18
0.37416982650756836,-0.09,-0.04,0.04,0.1
0.37587404251098633,-0.07,-0.05,-0.03,0.09
0.3807239532470703,-0.05,-0.05,-0.03,0.07
0.39063596725463867,-0.01,-0.03,0.0,0.03
0.4008779525756836,-0.01,0.03,-0.01,0.03
0.41057872772216797,0.02,0.01,0.04,0.04
0.42064690589904785,0.05,-0.09,0.12,0.15
0.43050479888916016,0.11,-0.08,0.18,0.22
0.44313693046569824,0.22,-0.04,0.3,0.37
0.47292184829711914,0.31,-0.03,0.44,0.53
0.4745619297027588,0.15,-0.02,0.33,0.36
0.4763307571411133,-0.03,-0.02,0.04,0.05
0.4810919761657715,-0.01,0.01,-0.11,0.11
0.4899787902832031,0.14,0.04,-0.17,0.22
0.5003998279571533,0.11,0.07,-0.12,0.17
0.5098519325256348,-0.01,0.03,-0.13,0.13
0.519556999206543,0.0,0.04,-0.18,0.18
0.5297307968139648,0.01,0.0,-0.25,0.25
0.5399048328399658,0.05,0.09,-0.3,0.31
0.5801758766174316,0.11,0.19,-0.3,0.37
0.5817780494689941,0.01,0.32,-0.24,0.4
0.5832037925720215,-0.08,0.09,-0.39,0.4
0.601071834564209,-0.05,-0.08,-0.48,0.48
0.6025309562683105,-0.18,0.09,-0.38,0.43
0.6172037124633789,-0.18,0.04,-0.36,0.4
0.6185288429260254,0.06,0.04,-0.09,0.11
0.6346688270568848,0.16,-0.11,0.1,0.21
0.6368269920349121,0.16,-0.1,0.43,0.46
0.653519868850708,0.13,-0.17,0.74,0.77
0.6579248905181885,0.06,-0.3,0.79,0.84
0.6865520477294922,0.07,-0.23,0.8,0.83
0.6882038116455078,0.06,-0.21,0.64,0.67
0.6898937225341797,-0.01,-0.14,0.47,0.49
0.7022318840026855,-0.02,-0.06,0.26,0.26
0.7036919593811035,0.04,0.14,0.05,0.15
0.7174267768859863,0.03,0.13,-0.31,0.33
0.7189328670501709,-0.09,0.14,-0.49,0.51
0.7342710494995117,-0.2,0.16,-0.52,0.57
0.7379989624023438,-0.19,0.16,-0.27,0.36
0.7499198913574219,-0.08,0.02,-0.12,0.14
0.7722828388214111,0.01,-0.1,-0.05,0.11
0.774075984954834,-0.05,-0.09,0.19,0.21
0.7774567604064941,0.06,-0.08,0.43,0.44
0.7876019477844238,0.21,-0.16,0.42,0.49
0.7977280616760254,0.18,-0.13,0.34,0.4
0.8075418472290039,-0.04,-0.12,0.26,0.28
0.8175249099731445,-0.13,-0.06,0.37,0.39
0.8273258209228516,-0.02,-0.07,0.46,0.46
0.8377900123596191,0.12,-0.21,0.35,0.42
0.849639892578125,0.15,-0.14,0.38,0.43
0.8718218803405762,0.03,-0.04,0.4,0.4
0.8734307289123535,-0.17,-0.08,0.23,0.29
0.8769829273223877,-0.26,-0.03,-0.01,0.26
0.8868129253387451,-0.39,-0.15,-0.23,0.47
0.8970458507537842,-0.45,0.01,-0.1,0.46
0.9066200256347656,-0.22,0.16,-0.14,0.3
0.9169020652770996,0.0,0.08,-0.43,0.43
0.9267299175262451,-0.01,0.1,-0.51,0.51
0.9372320175170898,-0.14,0.14,-0.19,0.27
0.9490070343017578,-0.19,-0.07,0.29,0.35
0.9714980125427246,-0.08,-0.17,0.27,0.32
0.9731009006500244,0.09,-0.08,-0.02,0.12
0.9761078357696533,0.17,0.03,-0.13,0.21
0.9860818386077881,0.25,0.11,-0.05,0.27
0.9962568283081055,0.29,0.12,0.11,0.33
1.0059168338775635,0.2,0.05,0.01,0.2
1.016171932220459,0.02,0.0,-0.17,0.17
1.0257530212402344,-0.09,0.05,-0.18,0.2
1.036383867263794,-0.01,0.09,-0.16,0.18
1.048865795135498,0.16,0.04,-0.28,0.32
1.0751910209655762,0.17,0.04,-0.28,0.33
1.0766558647155762,0.05,0.06,-0.08,0.11
1.078368902206421,-0.02,0.0,0.01,0.02
1.0855789184570312,-0.06,-0.07,-0.12,0.15
1.1007637977600098,-0.02,0.01,-0.13,0.13
1.10526704788208,0.09,0.0,-0.11,0.14
1.1151578426361084,0.15,-0.03,0.03,0.15
1.1249709129333496,0.16,-0.03,0.22,0.27
1.1375558376312256,0.12,-0.07,0.29,0.32
1.1453227996826172,0.1,-0.03,0.33,0.34
1.1788849830627441,0.09,0.0,0.25,0.26
1.1805438995361328,-0.02,0.03,0.09,0.09
1.1819229125976562,-0.08,0.05,-0.1,0.13
1.2016758918762207,-0.1,0.05,-0.23,0.25
1.2030658721923828,-0.08,0.18,-0.12,0.23
1.2172980308532715,-0.08,0.16,-0.15,0.23
1.218540906906128,-0.11,0.01,-0.14,0.17
1.2342698574066162,0.0,0.07,0.07,0.09
1.236557960510254,0.16,0.05,0.08,0.18
1.2514889240264893,0.05,0.01,-0.02,0.05
1.27339506149292,-0.24,-0.03,0.02,0.24
1.2751848697662354,-0.3,0.0,0.1,0.31
1.2765889167785645,-0.06,-0.01,0.05,0.07
1.2835209369659424,0.21,0.1,-0.08,0.24
1.293889045715332,0.28,0.21,-0.1,0.36
1.3037409782409668,0.25,0.25,-0.06,0.35
1.313882827758789,0.27,0.23,0.01,0.35
1.323483943939209,0.18,0.14,0.24,0.33
1.3335719108581543,-0.19,-0.22,0.16,0.33
1.3436648845672607,-0.32,-0.17,-0.11,0.37
1.3807728290557861,-0.26,0.18,-0.12,0.33
1.3826408386230469,-0.27,0.18,-0.09,0.33
1.3838448524475098,-0.17,-0.05,-0.18,0.25
1.401521921157837,-0.04,-0.09,-0.13,0.16
1.4030537605285645,0.0,-0.1,-0.22,0.24
1.4168720245361328,0.0,-0.11,-0.29,0.31
1.4182069301605225,-0.08,-0.04,-0.25,0.26
1.4342548847198486,-0.17,0.01,-0.07,0.18
1.4356648921966553,-0.17,-0.08,0.09,0.2
1.4540438652038574,0.03,0.02,0.2,0.2
1.457509994506836,0.26,0.13,0.24,0.37
1.487454891204834,0.31,0.09,0.23,0.39
1.4890589714050293,0.18,-0.06,0.2,0.27
1.490427017211914,0.05,-0.08,0.16,0.18
1.5021090507507324,-0.02,-0.04,0.03,0.05
1.5035667419433594,-0.04,0.05,-0.09,0.11
1.5176620483398438,0.07,0.26,-0.21,0.34
1.522110939025879,0.14,0.32,-0.27,0.44
1.5346338748931885,0.04,0.18,-0.28,0.33
1.5418438911437988,-0.2,-0.02,-0.25,0.32
1.5521960258483887,-0.49,-0.02,-0.12,0.5
1.5784759521484375,-0.66,0.02,-0.07,0.66
1.580331802368164,-0.7,0.03,-0.08,0.7
1.5818068981170654,-0.61,0.09,-0.07,0.62
1.6019649505615234,-0.52,0.02,-0.08,0.52
1.603463888168335,-0.53,-0.09,-0.05,0.53
1.6178879737854004,-0.69,-0.03,-0.06,0.69
1.6212539672851562,-0.77,0.0,-0.14,0.78
1.6354827880859375,-0.84,0.09,-0.15,0.85
1.6416049003601074,-0.94,0.34,-0.11,1.0
1.65385103225708,-1.03,0.31,-0.13,1.08
1.6767778396606445,-1.03,0.09,-0.27,1.06
1.6784310340881348,-0.74,-0.03,-0.31,0.8
1.6808018684387207,-0.3,-0.05,-0.21,0.36
1.6909427642822266,0.13,-0.08,-0.22,0.26
1.7008578777313232,0.58,-0.07,-0.17,0.6
1.7107908725738525,0.9,0.09,-0.18,0.92
1.7207927703857422,1.0,0.43,0.02,1.08
1.7307329177856445,0.82,0.42,0.13,0.93
1.740799903869629,0.29,0.1,0.2,0.36
1.7535109519958496,-0.75,-0.54,0.36,0.99
1.7800407409667969,-1.57,-0.95,0.55,1.91
1.7816510200500488,-1.16,-0.72,0.52,1.46
1.7831029891967773,-0.09,-0.45,0.44,0.63
1.801581859588623,0.32,-0.47,0.33,0.65
1.8029999732971191,0.38,-0.45,0.32,0.67
1.8176469802856445,0.52,-0.22,0.32,0.64
1.8196940422058105,0.57,0.23,0.33,0.69
1.8343088626861572,0.35,0.4,0.18,0.56
1.8397538661956787,-0.36,0.07,0.11,0.38
1.851320743560791,-1.35,-0.44,0.24,1.44
1.8868980407714844,-1.82,-0.72,0.27,1.97
1.8888330459594727,-1.51,-0.8,0.12,1.71
1.8902778625488281,-0.84,-0.64,0.0,1.05
1.9021739959716797,-0.57,-0.34,0.33,0.74
1.9036459922790527,0.35,0.71,0.41,0.89
1.9180717468261719,1.18,0.46,-0.72,1.45
1.919569969177246,0.28,0.35,-0.59,0.74
1.9347858428955078,-0.17,0.49,0.02,0.51
1.939039945602417,-0.83,0.21,0.56,1.02
1.9504337310791016,-1.55,0.11,0.4,1.6
1.985644817352295,-1.38,-0.02,-0.2,1.39
1.9874629974365234,-0.23,0.28,-0.4,0.53
1.9888319969177246,1.24,0.38,-0.3,1.33
2.002450942993164,1.68,-0.07,-0.15,1.68
2.0039467811584473,0.99,-0.31,-0.08,1.04
2.0181338787078857,0.29,-0.2,0.13,0.37
2.019575834274292,0.35,-0.12,0.23,0.43
2.0347299575805664,0.56,-0.14,0.28,0.64
2.0380749702453613,0.3,-0.24,0.36,0.52
2.0482330322265625,-0.44,-0.11,0.31,0.54
2.079822063446045,-0.35,0.18,0.05,0.39
2.0818190574645996,0.43,0.16,-0.29,0.54
2.0832438468933105,0.94,-0.09,-0.26,0.97
2.102080821990967,1.04,-0.26,-0.16,1.08
2.103571891784668,0.52,0.02,-0.12,0.53
2.1179728507995605,-0.13,0.51,-0.12,0.53
2.1192049980163574,-0.06,0.46,-0.17,0.49
2.1354148387908936,-0.14,0.13,-0.25,0.31
2.1377768516540527,-0.56,0.33,0.15,0.66
2.1514320373535156,-0.53,0.68,0.25,0.89
2.182400941848755,-0.22,0.6,-0.25,0.68
2.184088945388794,-0.02,0.33,-0.7,0.77
2.185405731201172,0.24,-0.02,-0.99,1.01
2.202573776245117,0.62,-0.3,-1.27,1.44
2.2040598392486572,0.83,-0.53,-0.98,1.38
2.2165889739990234,0.78,-0.79,-0.34,1.16
2.218087911605835,0.69,-0.71,-0.06,0.99
