time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002077,0.7561,-0.0239,-0.1152,0.765
0.009681,0.9298,0.0795,-1.1391,1.473
0.013440,0.9871,0.0716,-1.8395,2.089
0.022806,1.0776,-0.0020,-2.0917,2.353
0.033067,1.0797,-0.1395,-1.9464,2.230
0.043434,1.0700,-0.1761,-1.5508,1.892
0.053942,1.0598,-0.2443,-1.0804,1.533
0.062939,0.9867,-0.2313,-0.7782,1.278
0.072859,0.8498,-0.2294,-0.7785,1.175
0.082891,0.7331,-0.1515,-1.0502,1.290
0.093297,0.6641,-0.1131,-1.3098,1.473
0.102781,0.6392,-0.1215,-1.3818,1.527
0.112799,0.5758,-0.1648,-1.3756,1.500
0.122959,0.4605,-0.1646,-1.2626,1.354
0.135715,0.3291,-0.1415,-1.2105,1.262
0.142779,0.5036,-0.1277,-1.1996,1.307
0.152885,0.7499,-0.0462,-1.2493,1.458
0.163329,0.7856,-0.0236,-1.4767,1.673
0.173417,0.6826,-0.0882,-1.7927,1.920
0.183254,0.6886,-0.1017,-2.0594,2.174
0.192861,0.7250,-0.1713,-2.0809,2.210
0.202912,0.7230,-0.1409,-2.0923,2.218
0.213758,0.9244,-0.0229,-2.2317,2.416
0.223222,1.1598,0.0638,-2.5291,2.783
0.233002,1.2147,0.1307,-2.8864,3.134
0.243272,1.1142,0.0941,-3.1650,3.357
0.257795,1.1760,0.1040,-3.2855,3.491
0.263437,1.3342,0.0250,-3.2765,3.538
0.273346,1.4299,-0.1325,-3.1188,3.434
0.282907,1.2957,-0.3885,-2.9692,3.263
0.293541,1.1065,-0.5091,-2.9064,3.151
0.302769,0.7590,-0.7022,-2.9415,3.118
0.312864,0.5636,-0.9109,-2.9771,3.164
0.322804,0.7192,-1.1066,-3.0711,3.343
0.333556,0.9779,-1.3667,-3.2509,3.660
0.342965,1.4230,-1.4347,-3.2302,3.810
0.352882,1.6709,-1.5956,-3.1268,3.888
0.362796,1.5648,-1.8035,-3.4896,4.228
0.373431,1.3284,-1.9909,-4.0739,4.725
0.382847,1.2157,-2.2447,-4.5397,5.208
0.393286,1.2749,-2.3667,-5.0932,5.759
0.402973,1.2967,-2.5288,-5.3229,6.034
0.413346,1.4296,-2.7072,-5.4927,6.288
0.423903,1.6042,-2.8415,-5.5038,6.398
