time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001040,-0.2662,1.1829,-1.3441,1.810
0.006357,-0.3797,0.8982,-2.5212,2.703
0.015735,-0.2306,0.5331,-2.1082,2.187
0.026454,0.2197,0.1539,-0.9629,1.000
0.035646,0.5331,0.0005,0.2432,0.586
0.045691,0.7436,0.1157,1.5429,1.717
0.056204,0.6998,-0.1012,2.3582,2.462
0.066235,0.6511,-0.0855,2.3264,2.417
0.075732,0.5717,0.0963,1.7887,1.880
0.085680,0.3597,0.3445,0.6853,0.847
0.095811,0.2386,0.3695,0.2786,0.521
0.106714,0.4279,0.1950,0.2019,0.512
0.115782,0.3565,-0.1002,0.1235,0.390
0.125845,0.2233,-0.3203,-0.2106,0.444
0.135717,0.0809,-0.4057,-0.4467,0.609
0.146269,-0.1344,-0.5433,-0.8116,0.986
0.155761,-0.2560,-0.4890,-1.1485,1.274
0.165756,-0.1491,-0.2904,-1.4581,1.494
0.175869,0.0255,-0.1821,-1.7415,1.751
0.186615,0.0890,-0.2406,-2.2150,2.230
0.195725,-0.1048,-0.4436,-2.5840,2.624
0.205783,-0.2063,-0.4622,-2.3097,2.365
0.215767,-0.2757,-0.5571,-1.9019,2.001
0.226624,-0.1408,-0.5506,-1.8760,1.960
0.241796,-0.2801,-0.3852,-1.6526,1.720
0.246356,-0.3917,-0.2197,-1.1246,1.211
0.256110,-0.3500,-0.1555,-0.5377,0.660
0.266502,-0.3190,-0.0492,-0.3034,0.443
0.275823,-0.3829,0.0965,-0.3618,0.536
0.285877,-0.6391,0.0566,-0.2422,0.686
0.295769,-0.8397,0.1056,-0.1891,0.867
0.306326,-0.9992,0.1734,-0.0371,1.015
0.315658,-1.0386,0.2192,-0.0609,1.063
0.325851,-1.1130,0.2518,-0.2701,1.173
0.335796,-1.1466,0.2723,-0.2632,1.208
0.346502,-1.1809,0.2349,0.0283,1.204
0.356208,-1.1335,0.2679,0.2427,1.190
0.367181,-1.0983,0.2130,0.1451,1.128
0.376366,-1.0354,0.2078,-0.0975,1.061
0.386340,-1.0057,0.2139,-0.2110,1.050
0.395750,-1.0309,0.1830,-0.3036,1.090
0.405767,-1.2786,0.1048,-0.4538,1.361
0.415754,-1.6037,0.0181,-0.5936,1.710
0.426519,-1.7864,-0.0184,-0.3220,1.815
0.435760,-1.6629,0.0413,0.2029,1.676
0.445704,-1.3160,0.1144,0.5894,1.446
0.455774,-1.0255,0.1880,0.6122,1.209
0.466287,-0.9168,0.3200,0.3891,1.046
0.475923,-0.8852,0.4427,0.2136,1.013
0.485941,-0.7862,0.5774,-0.0613,0.977
0.501862,-0.7168,0.6779,-0.2784,1.025
0.506730,-0.7374,0.6093,-0.1433,0.967
0.521326,-0.6617,0.3344,0.3248,0.809
0.526023,-0.5582,0.2372,0.9597,1.135
0.535832,-0.5474,0.2090,1.3014,1.427
0.546217,-0.6050,0.1598,1.2526,1.400
0.555712,-0.5367,0.1866,1.0676,1.209
0.565776,-0.3648,0.3591,0.8247,0.971
0.575684,-0.1403,0.5512,0.5432,0.786
0.586593,0.1529,0.7147,0.3404,0.806
0.595899,0.4042,0.8410,0.3140,0.985
0.605791,0.6413,0.9503,0.4734,1.240
0.615793,0.7073,0.8557,0.6128,1.268
0.626242,0.6038,0.6743,0.7028,1.146
0.635734,0.4026,0.3279,0.9207,1.057
0.645810,0.2372,0.0229,0.9540,0.983
0.656036,0.0231,-0.2011,0.9016,0.924
0.666657,-0.1020,-0.3460,0.3612,0.510
0.676012,-0.3021,-0.2764,0.2138,0.462
0.685986,-0.2419,-0.1008,0.1731,0.314
0.696073,0.0129,0.0224,0.0433,0.050
0.706590,0.2114,0.1422,0.1369,0.289
0.715733,0.2954,0.1996,0.1303,0.380
0.726023,0.3243,0.1460,0.2394,0.429
0.735919,0.3095,0.0507,0.3863,0.498
0.746797,0.2263,0.0116,0.3170,0.390
0.757266,0.1163,0.0781,0.1401,0.198
0.766010,0.1335,0.2015,0.1098,0.265
0.775985,0.2749,0.3326,0.1275,0.450
0.786793,0.4043,0.4317,0.0462,0.593
0.796584,0.5119,0.5090,-0.0653,0.725
0.815327,0.4901,0.4883,-0.0792,0.696
0.816090,0.4394,0.4010,-0.1612,0.616
0.826721,0.4001,0.2978,-0.1736,0.528
0.836086,0.3712,0.2189,-0.1360,0.452
0.846144,0.3469,0.1158,-0.0866,0.376
0.856332,0.2331,0.1058,-0.1031,0.276
0.866465,0.1266,0.1579,-0.1860,0.275
0.876322,0.1222,0.2204,-0.3854,0.460
0.885820,0.1378,0.2326,-0.5456,0.609
0.895871,0.1323,0.2725,-0.7849,0.841
0.906543,0.0268,0.2720,-0.9071,0.947
0.916069,-0.1232,0.2017,-0.9132,0.943
0.926068,-0.2178,0.1395,-0.8320,0.871
0.945648,-0.2652,0.0656,-0.7614,0.809
0.946655,-0.2153,0.0396,-0.7499,0.781
0.955781,-0.1163,0.0528,-0.8170,0.827
0.965826,-0.1166,0.0181,-0.8841,0.892
0.975790,-0.2084,0.0548,-0.9418,0.966
0.986581,-0.2959,0.0266,-0.9512,0.997
0.995962,-0.4889,-0.0367,-0.6284,0.797
1.005807,-0.7197,-0.2044,-0.1698,0.767
1.015833,-0.8510,-0.3789,0.4343,1.028
1.026336,-0.8958,-0.4634,0.8814,1.339
1.035882,-0.8285,-0.5283,1.2022,1.553
1.045938,-0.7246,-0.4956,1.3972,1.650
1.056328,-0.6905,-0.4451,1.3195,1.554
1.072207,-0.5894,-0.4565,0.9490,1.207
1.075758,-0.5350,-0.4127,0.7648,1.021
1.091858,-0.4628,-0.2530,0.6191,0.813
1.095907,-0.3404,-0.1423,0.4638,0.593
1.106598,-0.1904,-0.1287,0.4652,0.519
1.115919,-0.0408,-0.1428,0.3981,0.425
1.125755,0.0503,-0.1252,0.4198,0.441
1.136071,0.0237,-0.1143,0.5695,0.581
1.147565,0.0617,-0.0619,0.5740,0.581
1.156019,0.1572,0.1187,0.5317,0.567
1.165727,0.2698,0.3668,0.4813,0.663
1.175742,0.3597,0.5524,0.3241,0.735
1.186182,0.3774,0.8110,0.0696,0.897
1.199957,0.4095,1.0338,-0.2925,1.150
1.206061,0.4531,1.1818,-0.7533,1.473
1.229255,0.4455,1.2854,-1.2841,1.871
1.230044,0.2830,1.2298,-1.6112,2.047
1.235997,0.1209,1.0481,-1.7739,2.064
1.247033,-0.1289,0.8605,-1.8109,2.009
1.256341,-0.2343,0.7566,-1.4779,1.677
1.266715,-0.1351,0.6971,-0.9117,1.156
1.275969,-0.0524,0.6604,-0.4153,0.782
1.285877,-0.0925,0.5661,-0.0477,0.576
1.295912,-0.1563,0.4815,0.2305,0.556
1.306615,-0.1241,0.2781,0.5375,0.618
1.315957,-0.1013,0.0435,0.7071,0.716
1.327016,-0.0930,-0.1331,0.7210,0.739
1.335917,-0.0778,-0.3689,0.7859,0.872
1.346371,-0.0818,-0.5348,0.7457,0.921
1.355951,-0.1135,-0.5810,0.5325,0.796
1.365977,-0.1265,-0.5759,0.2141,0.627
1.397360,-0.1150,-0.5488,-0.2004,0.595
1.397730,-0.0648,-0.5581,-0.4577,0.725
1.397836,-0.0198,-0.5065,-0.5003,0.712
1.406271,0.0078,-0.4643,-0.4368,0.638
1.415874,0.0483,-0.4428,-0.3559,0.570
1.426363,0.1127,-0.4133,-0.2964,0.521
1.435735,0.1451,-0.3948,-0.3260,0.532
1.445756,0.0790,-0.4157,-0.4735,0.635
1.456767,-0.0166,-0.4454,-0.6698,0.805
1.466582,-0.1220,-0.4533,-0.9344,1.046
1.475870,-0.2394,-0.3990,-1.1400,1.231
1.485740,-0.2357,-0.3609,-1.4349,1.498
1.495829,-0.4143,-0.2916,-0.9685,1.093
1.523477,-0.1487,-0.3976,-0.5160,0.668
1.524999,0.1041,-0.5132,0.0415,0.525
1.525948,0.1119,-0.6297,0.6068,0.882
1.535814,0.0598,-0.6295,1.0055,1.188
1.546672,-0.1146,-0.5415,1.2490,1.366
1.555884,-0.3429,-0.3855,1.4842,1.571
1.565952,-0.4259,-0.0825,1.6333,1.690
1.576170,-0.3624,0.2107,1.6867,1.738
