time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001662,-1.4251,-0.1167,1.6719,2.200
0.004319,-0.7623,0.3246,0.3138,0.886
0.014119,-0.5188,0.2721,-0.7279,0.934
0.024592,-0.3121,0.4516,-0.7325,0.915
0.034101,-0.1049,0.3988,-0.7119,0.823
0.044137,0.0676,0.2681,-0.4307,0.512
0.054158,0.3443,0.2006,-0.0439,0.401
0.064609,0.4278,0.1912,0.2541,0.533
0.073869,0.3863,0.4815,0.8281,1.033
0.083870,0.1254,0.3168,1.0999,1.151
0.093920,0.1086,0.4743,-0.2740,0.558
0.105439,0.1465,0.0166,-1.2466,1.255
0.116077,-0.0577,-0.4654,-1.9182,1.975
0.124520,0.1293,-0.3338,-1.5409,1.582
0.133905,0.3542,-0.0853,-0.6574,0.752
0.144317,0.7336,0.2609,0.3138,0.839
0.153880,0.4881,-0.1621,-0.4173,0.662
0.163861,0.3359,-0.4304,-1.1857,1.305
0.173885,0.5216,-0.3413,-1.2508,1.398
0.184858,0.6970,-0.1586,-0.8775,1.132
0.193897,0.7958,-0.0134,-0.5827,0.986
0.203834,0.8928,0.1309,-0.2662,0.941
0.214171,0.8922,0.1531,-0.1717,0.921
0.224546,0.7893,-0.0373,-0.2102,0.818
0.246173,0.7883,-0.2116,-0.0700,0.819
0.246837,0.9410,-0.1656,0.0882,0.960
0.254184,1.1348,-0.1795,-0.0610,1.151
0.265177,1.2056,-0.2645,-0.3700,1.289
0.274182,1.1144,-0.4251,-1.1015,1.624
0.283989,0.6675,-0.3276,-1.0111,1.255
0.293917,0.1894,-0.2653,-1.0313,1.082
0.304408,-0.1840,-0.2800,-0.7096,0.785
0.313957,-0.3927,-0.2059,-0.1138,0.458
0.323914,-0.6250,-0.0047,1.3454,1.483
0.333904,-0.7942,-0.2552,-0.3373,0.900
0.344580,-0.9389,-0.4397,-1.4549,1.787
0.353894,-0.8727,-0.2890,-1.3581,1.640
0.363905,-0.4715,-0.0970,-1.2338,1.324
0.373901,-0.0983,0.0368,-1.8648,1.868
0.384502,0.0599,0.1237,-2.6631,2.667
0.394072,-0.1030,0.0193,-3.0515,3.053
0.403933,-0.3756,-0.1352,-3.1692,3.194
0.413885,-0.6058,-0.3363,-2.9487,3.029
0.424545,-0.8484,-0.4590,-2.8889,3.046
0.433895,-1.1061,-0.4410,-3.0555,3.279
0.444061,-1.2080,-0.4626,-3.5251,3.755
0.453858,-0.7635,-0.4338,-4.1609,4.253
0.464540,-0.0091,-0.5052,-3.9065,3.939
0.474326,0.5726,-0.7102,-3.5088,3.625
0.484362,0.8440,-1.1854,-3.0552,3.384
0.495298,0.8079,-1.6023,-2.8177,3.341
0.504793,0.4632,-1.8472,-2.7656,3.358
0.514000,-0.0788,-2.1162,-3.0464,3.710
0.523926,-0.0145,-2.2481,-3.3572,4.040
0.533873,0.0302,-2.3156,-3.4249,4.134
0.547209,-0.2392,-2.6784,-2.8673,3.931
0.553757,-0.2773,-2.7407,-2.3209,3.602
0.563804,-0.0923,-2.5330,-2.2050,3.360
0.573755,0.1901,-2.3461,-2.4901,3.427
0.584516,0.7072,-2.0917,-2.9904,3.717
0.594224,1.4219,-1.8264,-3.2161,3.962
0.603670,2.0562,-1.6035,-3.2441,4.162
