time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001284,0.6363,0.1854,-2.7998,2.877
0.006161,0.9528,0.4361,-2.5671,2.773
0.016382,1.0683,0.4778,-2.2208,2.510
0.026963,0.7275,0.1980,-2.0239,2.160
0.036597,0.4764,-0.2596,-1.8287,1.907
0.046305,0.0361,-1.0446,-0.7526,1.288
0.056538,0.6782,-0.6517,-0.0697,0.943
0.066102,1.1261,-0.3064,0.8500,1.444
0.076864,1.6847,-0.7419,-0.1585,1.848
0.086478,1.6744,-0.8314,-1.3881,2.328
0.096457,1.2704,-0.7615,-1.6768,2.237
0.106388,0.6399,-0.6555,-1.5943,1.839
0.116554,-0.5983,-0.6818,-0.9732,1.330
0.126101,-0.2524,-0.5261,-0.9694,1.131
0.136232,0.2397,-0.3274,-1.0226,1.100
0.146169,0.5602,-0.4056,-1.4366,1.594
0.156854,0.7862,-0.4827,-1.7123,1.945
0.166009,0.8577,-0.6040,-1.8115,2.093
0.176064,0.9001,-0.5736,-1.7738,2.070
0.186824,0.8426,-0.5213,-1.8247,2.076
0.196585,0.6157,-0.4790,-2.1110,2.251
0.206662,0.4150,-0.5158,-2.4954,2.582
0.216278,0.3971,-0.6013,-2.8803,2.969
0.226457,0.5536,-0.6840,-3.0988,3.221
0.243415,0.8502,-0.7907,-3.1404,3.348
0.246323,1.2007,-0.7633,-3.1713,3.476
0.256221,1.4591,-0.8284,-3.0731,3.501
0.266187,1.5297,-0.8782,-3.1198,3.584
0.276602,1.5689,-0.8239,-3.0955,3.567
0.286134,1.5144,-0.6452,-2.9616,3.388
0.296112,1.2869,-0.5777,-3.0026,3.317
0.306173,0.8662,-0.6789,-2.9634,3.161
0.317007,0.5369,-0.6731,-2.6769,2.812
0.326420,0.2728,-0.6681,-2.3871,2.494
0.336210,0.0726,-0.6262,-2.0446,2.140
0.346834,-0.1827,-0.7162,-1.7966,1.943
0.356846,-0.4554,-0.8505,-1.6136,1.880
0.366570,-0.6295,-1.0192,-1.3880,1.833
0.376396,-0.6113,-1.1352,-1.1306,1.715
0.386165,-0.5811,-1.2799,-0.9899,1.719
0.397019,-0.6102,-1.4659,-1.0257,1.890
0.406179,-0.5329,-1.6764,-1.1408,2.097
0.416267,-0.3574,-1.7465,-1.3549,2.239
0.426145,-0.0028,-1.7277,-1.8149,2.506
0.436579,0.2896,-1.6894,-2.5398,3.064
0.446231,0.5235,-1.6094,-3.4500,3.843
0.456115,0.7107,-1.6111,-4.2895,4.637
0.466471,0.8605,-1.7977,-4.8909,5.281
0.477191,1.0172,-1.9977,-5.2810,5.737
0.486415,1.1382,-2.1479,-5.5444,6.054
0.498835,1.2669,-2.4022,-5.8157,6.419
0.506346,1.4805,-2.6288,-5.9360,6.659
0.519786,1.7418,-2.7950,-5.8369,6.702
0.526820,2.0431,-2.9473,-5.4892,6.557
0.536149,2.1487,-3.2414,-4.6983,6.099
0.546543,2.1033,-3.5607,-3.7089,5.555
0.557352,1.9759,-3.7350,-2.5114,4.915
0.566533,1.8727,-3.7542,-1.3635,4.411
0.576130,1.3273,-3.7537,-0.6485,4.034
0.586149,0.6180,-3.8173,-0.2790,3.877
0.596693,-0.0950,-4.0836,0.0004,4.085
0.606429,-0.6537,-4.3265,0.4553,4.399
0.616125,-0.8620,-4.5369,1.3499,4.811
0.628157,-0.6546,-4.4047,2.4737,5.094
0.636949,-0.3090,-4.1796,3.2323,5.293
0.646500,-0.1440,-3.9813,3.3943,5.234
0.656067,-0.3214,-3.9240,3.2131,5.082
0.666293,-0.7473,-3.9637,3.1407,5.112
0.676621,-1.2264,-3.9391,3.6119,5.483
0.686154,-1.6090,-3.7613,3.8540,5.620
0.696346,-1.9246,-3.6407,4.6083,6.180
0.706132,-1.9760,-3.1800,5.4382,6.602
0.716782,-1.8063,-2.6188,5.6883,6.517
0.726165,-1.6043,-2.0671,5.5244,6.113
0.736191,-1.4425,-1.5329,5.0861,5.504
0.746578,-1.4373,-1.1889,4.5338,4.903
0.759238,-1.6170,-0.9226,3.8725,4.297
0.766534,-1.8274,-0.7980,3.4594,3.993
0.776467,-2.1312,-0.7625,3.4839,4.155
0.786408,-2.3529,-0.7760,3.8195,4.553
0.797002,-2.3850,-0.7623,4.3453,5.015
0.806410,-2.3350,-0.7048,4.8600,5.438
0.816272,-2.2223,-0.5477,5.1427,5.629
0.826394,-2.0459,-0.3623,5.1683,5.570
0.836855,-1.9720,-0.1696,4.9139,5.298
0.846673,-1.8432,0.1681,4.4277,4.799
0.856630,-1.9550,0.2402,3.8087,4.288
0.866459,-2.1198,0.1862,3.0895,3.751
0.877264,-2.1594,0.1459,2.5000,3.307
0.888631,-2.1215,0.0528,2.0244,2.933
0.896402,-2.0045,-0.1306,1.6555,2.603
0.906766,-1.7483,-0.2755,1.4744,2.304
0.916772,-1.2835,-0.3415,1.4043,1.933
0.926462,-0.7695,-0.2794,1.3864,1.610
0.937899,-0.3873,-0.2461,1.3707,1.445
0.946340,-0.1011,-0.3201,1.3174,1.359
0.957203,-0.0106,-0.3834,1.2562,1.313
0.966372,0.0692,-0.4062,1.3348,1.397
0.976164,0.1478,-0.3894,1.4534,1.512
0.986241,0.1275,-0.4216,1.5822,1.642
0.996619,0.1664,-0.2871,1.7013,1.733
1.006386,0.1560,-0.1244,1.8870,1.898
1.017694,0.1238,0.0063,1.9697,1.974
1.027186,0.0600,0.1338,1.9474,1.953
1.037130,-0.0633,0.1500,1.8695,1.877
1.046419,-0.0964,0.2119,1.7070,1.723
1.056324,-0.1553,0.2122,1.5001,1.523
1.079001,-0.1598,0.2009,1.1336,1.162
1.079898,-0.0707,0.2279,0.2954,0.380
1.086419,-0.0637,0.2473,-0.1565,0.300
1.096641,-0.2871,0.1154,-0.2267,0.384
1.106764,-0.6094,0.0395,0.3126,0.686
1.117098,-0.9209,-0.0901,1.2523,1.557
1.126408,-1.1739,-0.2288,2.2625,2.559
1.136361,-1.1975,-0.4001,2.8362,3.105
1.146689,-0.9983,-0.5287,2.9579,3.166
1.156812,-0.5507,-0.6253,2.5278,2.662
1.166380,-0.0729,-0.7086,1.8704,2.001
1.176201,0.2794,-0.8453,1.2735,1.554
1.186593,0.5191,-0.9160,0.9367,1.409
1.202149,0.7996,-0.9779,0.8040,1.497
1.206656,1.0698,-0.9721,0.6696,1.593
1.225988,1.0530,-0.9478,0.5626,1.524
1.226777,0.8381,-0.9639,0.4140,1.343
1.236773,0.6235,-0.8734,0.1554,1.084
1.246389,0.3814,-0.8331,-0.2421,0.948
1.256683,0.0908,-0.7734,-0.6004,0.983
1.266509,-0.1405,-0.6836,-0.8688,1.114
1.276975,-0.2351,-0.4548,-1.1534,1.262
1.286396,-0.3613,-0.2728,-1.2964,1.373
1.296221,-0.5693,-0.1369,-1.3850,1.504
1.306334,-0.7702,0.0317,-1.3695,1.572
1.316667,-0.9721,0.0273,-1.2694,1.599
1.332150,-0.9869,0.0948,-1.0257,1.427
1.336177,-0.9024,0.1942,-0.9736,1.342
1.353489,-0.8689,0.2267,-0.8988,1.271
1.356898,-0.8003,0.1826,-0.8114,1.154
1.366252,-0.6772,0.1603,-0.6318,0.940
1.376198,-0.4788,0.1403,-0.3896,0.633
1.386286,-0.2815,0.0828,-0.1146,0.315
1.396764,-0.0846,0.0562,0.2218,0.244
1.406209,0.0341,-0.0288,0.5593,0.561
1.416157,0.0665,-0.1537,0.8275,0.844
1.426287,0.1902,-0.2016,1.0345,1.071
1.436867,0.2967,-0.2316,1.2189,1.276
1.446345,0.3450,-0.2636,1.4288,1.493
1.457878,0.3538,-0.2985,1.5548,1.622
1.466595,0.3736,-0.2586,1.4189,1.490
1.479568,0.4243,-0.2127,1.1187,1.215
1.486594,0.3877,-0.1600,0.6854,0.804
1.501952,0.3611,-0.0792,0.3771,0.528
1.508855,0.3042,-0.0178,0.2161,0.374
1.516919,0.2375,-0.0345,0.1835,0.302
1.526614,0.2311,-0.0120,0.0923,0.249
1.536173,0.2263,0.0198,-0.1369,0.265
1.546326,0.1809,0.0708,-0.3377,0.390
1.556693,0.1118,0.0729,-0.4798,0.498
1.566241,-0.0509,0.0657,-0.5724,0.578
1.576241,-0.2373,-0.0190,-0.6344,0.678
1.587976,-0.3864,-0.0831,-0.6159,0.732
1.596949,-0.4468,-0.1065,-0.5555,0.721
1.606824,-0.3989,-0.1579,-0.4530,0.624
1.616296,-0.3422,-0.1397,-0.2899,0.470
1.626459,-0.2960,-0.1896,-0.1652,0.388
1.652665,-0.2491,-0.1903,-0.1283,0.339
1.653177,-0.1514,-0.1911,-0.1403,0.281
1.656302,-0.0423,-0.1920,-0.1525,0.249
1.666298,-0.0003,-0.2124,-0.1448,0.257
1.677012,0.0425,-0.2130,-0.1464,0.262
1.686434,0.0074,-0.1640,-0.1272,0.208
1.696306,-0.0580,-0.1244,-0.0779,0.158
1.706409,-0.2231,-0.0844,-0.0380,0.242
1.718235,-0.3397,-0.0737,-0.0075,0.348
1.726339,-0.3666,-0.0529,0.0530,0.374
1.736268,-0.2046,-0.0612,0.2123,0.301
1.746472,0.0978,-0.0207,0.2636,0.282
1.757381,0.3148,-0.0396,0.2651,0.413
1.774752,0.3960,-0.0981,0.2953,0.504
1.776652,0.4187,-0.1079,0.2759,0.513
1.786452,0.3911,-0.0789,0.2556,0.474
1.796842,0.2236,-0.0702,0.2044,0.311
1.806287,-0.0153,-0.1015,0.1223,0.160
1.816338,-0.2255,-0.1333,0.0588,0.268
1.826263,-0.3162,-0.1458,-0.0542,0.352
1.836935,-0.2770,-0.1096,-0.1873,0.352
1.846207,-0.2473,-0.0827,-0.2213,0.342
1.856113,-0.2576,-0.0746,-0.1853,0.326
