time,ax,ay,az,atotal
0.00616908073425293,1.2,-0.45,-0.54,1.39
0.016169071197509766,0.58,0.4,-0.66,0.96
0.026130199432373047,-0.04,-0.03,0.0,0.05
0.03616809844970703,-0.11,-0.04,-0.11,0.16
0.04610300064086914,-0.08,0.06,-0.36,0.37
0.07678794860839844,-0.02,0.03,-0.26,0.26
0.07736396789550781,-0.05,0.03,-0.18,0.18
0.0779109001159668,-0.03,-0.04,-0.03,0.05
0.08608722686767578,-0.19,-0.06,0.22,0.29
0.0959939956665039,-0.49,-0.07,0.34,0.6
0.10597419738769531,-0.52,-0.07,0.31,0.6
0.11600303649902344,-0.28,-0.06,0.18,0.33
0.12599897384643555,-0.12,-0.03,0.07,0.14
0.13605403900146484,-0.06,0.0,-0.03,0.06
0.146043062210083,-0.02,-0.01,-0.09,0.09
0.1761641502380371,0.05,-0.01,-0.08,0.09
0.17673301696777344,0.13,0.01,-0.02,0.13
0.1773080825805664,0.19,0.0,-0.08,0.2
0.1858210563659668,0.3,-0.01,-0.05,0.3
0.19579696655273438,0.33,-0.01,0.01,0.33
0.20584392547607422,0.21,-0.01,0.07,0.22
0.21581220626831055,0.12,-0.03,0.2,0.23
0.2257990837097168,0.05,-0.03,0.21,0.21
0.23583412170410156,-0.01,-0.01,0.11,0.11
0.2457880973815918,-0.01,-0.01,-0.01,0.01
0.27556896209716797,-0.02,-0.02,-0.09,0.09
0.27616214752197266,-0.11,-0.05,-0.08,0.14
0.2767510414123535,-0.26,-0.03,0.06,0.26
0.2855191230773926,-0.43,-0.01,0.06,0.43
0.29566311836242676,-0.43,-0.02,0.03,0.43
0.3057060241699219,-0.38,-0.03,-0.04,0.38
0.3156120777130127,-0.35,-0.01,-0.13,0.37
0.325653076171875,-0.2,0.03,-0.02,0.2
0.3357381820678711,-0.02,0.0,0.11,0.11
0.3456711769104004,0.02,-0.03,0.08,0.08
0.3761582374572754,-0.1,-0.05,0.03,0.11
0.3767881393432617,-0.13,-0.03,0.04,0.13
0.37735891342163086,-0.12,0.0,0.15,0.19
0.38558411598205566,-0.13,-0.03,0.22,0.25
0.3955721855163574,0.05,0.01,0.14,0.14
0.405534029006958,0.24,-0.06,0.26,0.35
0.415463924407959,0.49,-0.15,0.36,0.62
0.42551207542419434,0.37,-0.07,0.32,0.49
0.4355812072753906,0.11,-0.07,0.25,0.28
0.44549989700317383,0.0,-0.06,0.03,0.06
0.4755721092224121,-0.14,-0.03,-0.18,0.23
0.47620105743408203,-0.28,0.0,-0.23,0.36
0.47677111625671387,-0.27,-0.02,-0.2,0.33
0.48544907569885254,-0.07,-0.03,0.03,0.08
0.4954700469970703,-0.06,0.0,0.1,0.11
