time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006220,-1.2221,0.2221,-2.4379,2.736
0.015900,-0.6531,-0.0787,-1.0162,1.211
0.025677,-0.0149,-0.0594,1.2234,1.225
0.035886,0.2530,-0.1246,2.1329,2.151
0.046504,0.3784,-0.3483,2.1796,2.239
0.055938,0.5225,-0.6576,1.7836,1.971
0.066014,0.5205,-0.5425,1.0526,1.294
0.075700,0.5537,-0.1353,0.1050,0.580
0.086172,0.4341,-0.0959,-0.6859,0.817
0.095684,0.3659,-0.3194,-1.1724,1.269
0.105685,0.4370,-0.3195,-2.1282,2.196
0.115919,0.4853,-0.2383,-3.0029,3.051
0.127042,0.0916,-0.3450,-2.8821,2.904
0.135829,-0.6621,-0.6669,-1.7654,2.000
0.145746,-1.2472,-0.7912,0.6802,1.626
0.155697,-0.6855,-0.4789,3.6100,3.706
0.166126,0.3350,0.1261,1.7162,1.753
0.175709,-0.2841,0.0038,0.3401,0.443
0.185668,-0.3354,-0.1917,-0.4003,0.556
0.195734,-0.5920,0.0145,-0.3164,0.671
0.206377,-0.4183,0.5736,-0.2216,0.744
0.215681,-0.3377,0.5064,-0.1562,0.628
0.225716,0.1359,0.1871,-0.6511,0.691
0.235733,0.8041,0.6388,-1.2637,1.628
0.246220,0.6171,0.3743,-0.6472,0.969
0.255685,-0.6091,-0.4612,-0.0111,0.764
0.266241,-2.6026,-0.7483,-0.3821,2.735
0.275745,-1.3401,-0.3354,-0.9849,1.697
0.286448,0.9308,0.1238,-1.3761,1.666
0.298520,2.0218,1.5568,-2.4327,3.526
0.305980,2.7808,1.2639,-2.2342,3.784
0.315881,2.5470,0.7492,-1.9649,3.303
0.326332,2.3661,0.2589,-2.1597,3.214
0.335873,2.5511,0.1098,-2.9129,3.874
0.345877,2.5911,0.0576,-3.3329,4.222
0.355996,2.7154,0.1051,-3.2292,4.220
0.366684,2.6364,-0.0881,-2.7573,3.816
0.376035,2.4580,-0.3271,-1.9174,3.135
0.385948,2.0974,-0.7002,-0.1308,2.215
0.396101,2.2028,-1.0319,0.6544,2.519
0.407559,2.1130,-1.1657,1.4809,2.831
0.415977,1.5781,-1.1570,2.0703,2.849
0.425939,1.0497,-1.2718,1.9058,2.520
0.436204,0.6600,-1.2765,1.0713,1.792
0.446792,0.2667,-1.1339,-0.0299,1.165
0.456045,0.0063,-0.9674,-0.9991,1.391
0.465934,-0.1599,-0.8315,-1.4858,1.710
0.476095,-0.2512,-0.8539,-1.5438,1.782
0.486612,-0.3161,-0.7738,-1.1695,1.438
0.496050,-0.2350,-0.7077,-0.5091,0.903
0.506438,-0.2232,-0.6406,0.2782,0.733
0.516389,-0.5045,-0.8548,0.9820,1.396
0.526918,-0.8595,-1.1116,1.2047,1.851
0.544683,-1.1717,-1.2768,1.1601,2.085
0.546003,-1.2644,-1.2421,0.8872,1.982
0.556096,-1.1889,-1.0753,0.6520,1.731
0.566365,-0.9605,-0.7252,0.8113,1.451
0.575968,-0.6191,-0.3283,1.1210,1.322
0.585973,-0.3865,-0.0308,1.3938,1.447
0.595929,-0.4166,0.0414,1.8550,1.902
0.606764,-0.4378,0.1062,2.1791,2.225
0.616317,-0.5545,0.0558,2.4525,2.515
0.625927,-0.6988,-0.0728,2.4772,2.575
0.636332,-0.7445,-0.1541,2.3502,2.470
0.646417,-0.3627,0.0257,2.3661,2.394
0.656065,0.0567,0.2687,2.5661,2.581
0.665974,0.2648,0.4157,2.7543,2.798
0.676277,0.5327,0.5040,3.1267,3.212
0.686930,0.7652,0.5436,3.6225,3.742
0.696020,0.8623,0.4679,3.7288,3.856
0.706027,0.8117,0.3781,3.4436,3.558
0.716006,0.6551,0.1307,3.2000,3.269
0.726516,0.4252,-0.1440,2.8316,2.867
0.736423,0.2034,-0.0615,2.4564,2.466
0.746135,0.1835,0.1915,2.0266,2.044
0.756047,0.3089,0.4640,1.7782,1.864
0.766839,0.4235,0.7026,1.5460,1.750
0.776053,0.4739,0.8852,1.4179,1.737
0.786232,0.4266,0.9906,1.2672,1.664
0.798247,0.3528,1.0052,1.1479,1.566
0.806895,0.3075,0.8293,1.2454,1.528
0.817809,0.1308,0.5364,1.4837,1.583
0.826730,-0.0343,0.3697,1.5527,1.596
0.836134,-0.1352,0.2225,1.5003,1.523
0.846972,-0.0926,0.2520,1.5029,1.527
0.856034,0.0527,0.3989,1.4042,1.461
0.866032,0.3065,0.6611,1.4006,1.579
0.876840,0.5362,0.8503,1.4734,1.784
0.886506,0.6102,0.8178,1.5056,1.819
0.896195,0.6077,0.7894,1.4875,1.790
0.906022,0.6781,0.6394,1.5077,1.773
0.916240,0.6674,0.3600,1.5568,1.732
0.927058,0.5208,0.0810,1.7232,1.802
0.936142,0.3992,-0.1473,1.7214,1.773
0.947023,0.3842,-0.2068,1.6185,1.676
0.956304,0.3960,-0.1765,1.4345,1.499
0.969883,0.4719,-0.1259,1.2086,1.304
0.977049,0.6183,-0.0273,0.9512,1.135
0.986447,0.7333,0.0298,0.7517,1.051
0.996029,0.7547,0.0053,0.6305,0.983
1.006718,0.7902,-0.1303,0.5288,0.960
1.015851,0.6655,-0.3072,0.3782,0.825
1.025973,0.5709,-0.4743,0.3155,0.806
1.035862,0.4697,-0.5616,0.3015,0.792
1.046317,0.5308,-0.5297,0.1488,0.765
1.055951,0.5969,-0.4480,-0.1040,0.754
1.065832,0.6169,-0.2975,-0.4072,0.797
1.076522,0.7055,-0.1564,-0.6803,0.992
1.087004,0.6817,-0.0735,-0.8617,1.101
1.096165,0.6223,-0.0486,-0.8815,1.080
1.118959,0.5168,-0.0615,-0.7783,0.936
1.119702,0.3963,-0.1218,-0.5233,0.668
1.126746,0.2838,-0.2198,-0.3246,0.484
1.137385,0.1531,-0.3754,-0.1352,0.427
1.146069,0.0274,-0.4419,-0.1046,0.455
1.156040,-0.0034,-0.3991,-0.1843,0.440
1.166697,0.0498,-0.1683,-0.4419,0.475
1.176129,0.0956,0.0247,-0.6600,0.667
1.186059,0.1486,0.2093,-0.7871,0.828
1.196055,0.1961,0.2768,-0.8026,0.871
1.206722,0.2076,0.2077,-0.7550,0.810
1.216189,0.1643,0.0707,-0.4974,0.529
1.226097,0.1475,-0.0945,-0.1195,0.212
1.255084,0.1314,-0.1908,0.2387,0.333
1.255658,0.0700,-0.1505,0.2903,0.334
1.256152,0.1608,0.0652,0.0731,0.188
1.266314,0.2347,0.2411,-0.1656,0.375
1.276146,0.2986,0.3585,-0.3649,0.592
1.286641,0.3307,0.3988,-0.3850,0.645
1.299062,0.3195,0.3133,-0.3324,0.557
1.306076,0.2071,0.1098,-0.1901,0.302
1.316757,0.1003,-0.1510,0.1421,0.230
1.326893,0.0326,-0.3923,0.4354,0.587
1.336275,-0.0313,-0.4774,0.5394,0.721
1.346046,0.0088,-0.3669,0.4140,0.553
1.356109,0.0436,-0.1981,0.2464,0.319
1.370509,0.0808,-0.0684,0.0383,0.113
1.376141,0.0794,0.0029,-0.1499,0.170
1.398958,0.0580,-0.0126,-0.1797,0.189
1.399596,0.0148,-0.0664,-0.1190,0.137
1.407214,-0.0300,-0.1298,0.0211,0.135
1.416345,-0.0653,-0.1154,0.0627,0.147
1.426341,-0.0510,-0.0828,0.0242,0.100
1.436352,-0.0571,-0.1003,0.0340,0.120
1.448249,-0.0931,-0.0791,0.0143,0.123
1.456047,-0.0206,-0.0665,-0.0144,0.071
1.466039,0.0818,-0.0133,-0.0028,0.083
1.475979,0.1059,0.0506,0.0097,0.118
1.486911,0.2078,0.0757,0.1307,0.257
1.501626,0.2689,0.0899,0.2811,0.399
1.506359,0.2900,0.0826,0.4299,0.525
1.546077,0.2340,0.1221,0.3795,0.462
1.546890,0.1611,0.1499,0.1787,0.283
1.547104,0.0800,0.0892,0.0160,0.121
1.547274,0.0290,0.0488,-0.0679,0.089
1.556123,0.0177,0.0684,-0.0234,0.074
1.566914,-0.0136,0.0295,0.0118,0.035
1.577219,-0.0463,0.0195,0.0767,0.092
1.586089,-0.0207,0.0083,0.0721,0.075
1.596170,-0.0441,0.0254,-0.0219,0.055
1.606688,-0.0382,0.0422,-0.1455,0.156
1.616170,-0.0620,-0.0187,-0.1213,0.138
1.626895,-0.1452,-0.1083,-0.0273,0.183
1.636134,-0.1100,-0.1185,-0.0112,0.162
1.647104,-0.0943,-0.1285,0.0345,0.163
1.656075,0.0082,-0.1193,0.0412,0.126
1.666420,0.1094,-0.0713,0.0483,0.139
1.702339,0.2385,0.0253,0.0559,0.246
1.703177,0.2972,-0.0053,0.0351,0.299
1.703378,0.2258,-0.1629,0.1536,0.318
1.708853,0.1047,-0.3777,0.3328,0.514
1.718961,-0.0036,-0.5219,0.3753,0.643
1.727205,-0.0785,-0.6148,0.4865,0.788
1.736559,-0.1408,-0.6770,0.6071,0.920
1.746127,-0.1314,-0.6318,0.6082,0.887
1.757446,-0.0900,-0.4901,0.5375,0.733
1.766596,0.0607,-0.2919,0.4444,0.535
1.776187,0.2018,-0.0170,0.3885,0.438
1.786093,0.2937,0.1386,0.3116,0.450
1.798018,0.2708,0.2050,0.2127,0.401
1.833005,0.1746,0.1449,0.1661,0.281
1.833609,0.1038,0.0954,0.0979,0.172
1.833807,0.0556,0.0572,-0.0095,0.080
1.839104,0.0965,0.0883,-0.0186,0.132
1.846601,0.1167,0.1385,-0.0276,0.183
1.855930,0.1631,0.2068,0.0224,0.264
1.866108,0.2639,0.3316,0.1606,0.453
1.876229,0.3111,0.3748,0.2686,0.556
1.886962,0.3156,0.4249,0.2872,0.602
1.896214,0.3089,0.3850,0.3048,0.580
1.905981,0.2637,0.3543,0.2529,0.509
1.915875,0.2606,0.3148,0.1318,0.429
1.926493,0.2802,0.3160,0.1090,0.436
1.945775,0.2433,0.3087,-0.0019,0.393
1.946482,0.1979,0.2829,-0.1027,0.360
1.956131,0.1518,0.2472,-0.1735,0.338
1.967459,0.1130,0.1718,-0.2046,0.290
1.976068,0.0999,0.0850,-0.2157,0.252
1.985987,0.0929,-0.0037,-0.1190,0.151
1.995969,0.0439,-0.0945,-0.0620,0.121
2.006842,0.0033,-0.1471,0.0435,0.153
2.016714,0.0323,-0.1704,0.0604,0.184
2.025946,0.0928,-0.0754,0.0671,0.137
2.036265,0.1548,0.0007,-0.0045,0.155
2.046779,0.1879,0.0770,-0.1154,0.234
2.055976,0.1518,0.0064,-0.2259,0.272
2.069269,0.1147,-0.0736,-0.2472,0.282
2.076249,0.0959,-0.1428,-0.1591,0.234
2.096397,0.1250,-0.1826,-0.0607,0.229
2.097526,0.1533,-0.1650,-0.0907,0.243
2.106142,0.1010,-0.1885,-0.1016,0.237
2.116185,-0.0129,-0.2135,-0.0441,0.218
2.126918,0.2039,-0.1115,-0.0642,0.241
2.136318,-0.3271,-0.0977,0.1229,0.363
2.146515,-0.1434,0.0935,0.1351,0.218
2.156021,0.2167,0.2088,0.3948,0.496
2.166517,-0.1153,0.3739,0.8539,0.939
2.176053,0.6667,0.1464,1.4323,1.587
2.186343,0.5794,-0.1528,2.0502,2.136
2.198830,0.0743,-0.4379,2.5585,2.597
2.207300,0.1800,-0.4423,2.4640,2.510
2.228386,-0.1019,-0.8024,2.8164,2.930
2.229893,0.1382,-0.8581,2.4377,2.588
2.236067,0.5304,-0.4975,2.3403,2.451
2.246476,0.3326,-0.2619,2.3589,2.397
2.255910,0.3805,-0.2518,2.0980,2.147
2.265948,0.2974,-0.2817,1.9318,1.975
2.276143,0.4043,-0.1166,1.6063,1.660
2.286666,0.4138,-0.2682,1.9747,2.035
2.298663,0.3532,-0.5131,0.8215,1.031
2.305904,0.0433,-0.7926,2.2386,2.375
2.315936,0.0053,-0.8252,2.0639,2.223
2.326412,-0.0733,-0.9241,0.6012,1.105
2.336335,0.1297,-0.8966,0.2577,0.942
2.347014,0.1967,-0.6923,0.5232,0.890
2.357023,0.0205,-0.5660,0.4753,0.739
2.374048,0.3282,-0.1449,-0.2294,0.426
2.376081,0.6419,0.0815,-0.4401,0.783
2.385964,0.2720,-0.1130,-0.1173,0.317
2.396072,-0.0328,-0.2768,-0.4090,0.495
2.406799,0.1098,-0.0237,-0.1951,0.225
2.415930,0.5480,0.0665,0.0938,0.560
2.426019,0.7739,-0.0504,0.4633,0.903
2.436009,0.8840,-0.3893,0.8911,1.314
2.446818,0.7548,-0.9308,0.6890,1.382
2.457044,0.7821,-0.8283,0.5150,1.250
2.466817,0.9711,-0.4512,0.5006,1.182
2.476582,1.0538,-0.1723,0.5783,1.214
2.487328,1.0140,0.0937,0.9940,1.423
2.496422,0.9349,0.0029,1.1669,1.495
2.514293,0.5710,-0.3378,1.3812,1.532
2.516054,0.4876,-0.6163,1.9812,2.131
2.526819,0.4214,-1.2076,2.0828,2.444
