time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001224,0.6563,-0.3403,-1.0187,1.259
0.013133,0.9325,-0.3140,-0.6461,1.177
0.015847,1.1970,-0.3839,0.0945,1.261
0.026104,1.3068,-0.3562,0.3529,1.400
0.035621,1.0552,-0.3559,0.0219,1.114
0.045570,0.6399,-0.2630,-0.3498,0.775
0.055652,0.3261,-0.2638,-0.2821,0.505
0.066274,0.1723,-0.3007,-0.1075,0.363
0.075479,-0.0078,-0.2875,-0.2067,0.354
0.085615,-0.8123,-0.3230,-0.7951,1.182
0.097529,-0.3037,0.0210,-1.6799,1.707
0.106019,0.1326,0.1554,-2.1989,2.208
0.116590,0.2080,-0.0848,-1.9490,1.962
0.125579,0.1659,-0.2452,-1.2905,1.324
0.135620,0.1449,-0.2590,-0.9085,0.956
0.146273,0.1423,-0.2926,-0.7825,0.847
0.155523,0.1526,-0.3172,-0.7743,0.851
0.165676,0.1516,-0.2345,-0.7557,0.806
0.175660,0.2139,-0.2101,-0.8154,0.869
0.186124,0.2431,-0.2425,-0.7679,0.841
0.195897,0.3561,-0.3021,-0.6232,0.779
0.205688,0.4350,-0.3696,-0.5575,0.798
0.215881,0.4882,-0.3870,-0.5313,0.819
0.226632,0.5408,-0.4428,-0.4369,0.824
0.235838,0.5607,-0.5279,-0.4506,0.892
0.245946,0.6362,-0.5447,-0.4740,0.962
0.255663,0.7681,-0.5326,-0.5168,1.068
0.266018,0.8226,-0.5003,-0.3832,1.036
0.281086,0.7847,-0.4562,-0.2599,0.944
0.286144,0.7070,-0.3999,-0.2056,0.838
0.296011,0.5258,-0.3421,-0.1712,0.650
0.306435,0.3416,-0.2254,0.0492,0.412
0.315577,0.1318,-0.1289,0.2698,0.327
0.325447,-0.1530,-0.0434,0.6377,0.657
0.335561,-0.5416,0.0109,0.9378,1.083
0.346067,-1.0180,0.0425,1.2880,1.642
0.355574,-1.4602,0.0992,0.8649,1.700
0.365475,-1.7724,0.1617,0.1673,1.788
0.375499,-1.9180,0.3217,-0.5036,2.009
0.386290,-2.0397,0.4276,-0.4736,2.137
0.395673,-2.0409,0.3234,0.4846,2.122
0.405532,-1.8124,0.2708,1.4547,2.340
0.415708,-1.4273,0.2534,1.1882,1.874
0.426126,-1.1830,0.1437,0.6817,1.373
0.435611,-0.7470,0.2600,0.5078,0.940
0.445633,-0.2256,0.2573,0.1765,0.385
0.455669,0.5741,0.3056,-0.1691,0.672
0.466431,1.7930,0.2533,-1.0261,2.081
0.475759,2.3542,-0.2187,-2.5073,3.446
0.485638,1.9012,-0.6133,-3.8223,4.313
0.495804,0.9410,-0.7901,-4.4196,4.587
0.506213,0.0144,-0.9883,-5.2554,5.348
0.515590,-0.3739,-1.0094,-5.3016,5.410
0.525567,-0.2707,-0.5680,-4.3101,4.356
0.535630,0.1874,-0.3766,-3.0786,3.107
0.546352,0.9958,-0.2287,-2.4666,2.670
0.555683,1.7938,-0.3224,-3.0544,3.557
0.565541,2.0521,-0.6688,-3.4879,4.102
0.576039,1.8312,-0.9977,-3.3702,3.963
0.586945,1.2374,-1.5303,-2.9550,3.550
0.595949,0.5919,-2.3325,-3.4950,4.243
0.605631,0.3773,-3.2150,-4.6002,5.625
0.616035,0.6349,-3.4402,-4.4031,5.624
0.626522,1.3605,-2.9706,-3.3319,4.667
0.635931,2.6110,-2.2276,-2.5315,4.265
0.645668,3.0484,-2.7097,-4.2666,5.902
0.655706,3.1795,-3.3051,-6.0019,7.554
0.666099,1.7402,-4.0412,-6.6277,7.955
0.675638,0.4652,-4.6536,-6.0232,7.626
0.686139,1.1942,-4.3665,-3.4225,5.675
0.695779,2.8276,-3.1857,-2.1776,4.784
0.706471,3.7517,-2.1725,-1.8356,4.708
0.715714,2.4552,-2.3636,-2.6252,4.302
0.725673,1.6413,-3.1006,-6.4520,7.344
0.736249,-2.1923,-6.5297,-6.2798,9.321
0.746183,-5.3308,-8.9357,-6.2013,12.113
0.761378,-3.9745,-6.7114,2.1507,8.091
0.785948,-2.0872,-5.7683,5.3875,8.164
0.786624,-1.3384,-4.9411,3.0123,5.940
0.787086,-0.9871,-4.4518,0.3898,4.577
0.803438,-0.6491,-3.7548,0.3412,3.826
0.805701,-1.3053,-3.3076,-0.8921,3.666
0.815802,-2.5324,-2.6138,-1.3975,3.898
0.826089,-3.9892,-2.3478,-1.7437,4.946
0.835934,-4.1561,-2.1510,-1.9873,5.084
0.845718,-3.2679,-2.0342,-1.4910,4.128
0.855693,-2.2390,-1.9554,-0.4230,3.003
0.866827,-1.7187,-2.2374,0.5805,2.880
0.876034,-1.4750,-2.5835,1.7860,3.470
0.886049,-1.3218,-2.6017,2.7634,4.019
0.895823,-1.0854,-2.3433,2.9247,3.902
0.906151,-0.8004,-1.8040,2.4356,3.135
0.915753,-0.8494,-1.4907,1.6776,2.400
0.926030,-0.9725,-1.2860,0.6814,1.750
0.935810,-0.9669,-1.2481,0.2911,1.605
0.946573,-0.7390,-1.2244,0.4776,1.508
0.955777,-0.7077,-1.2931,0.7129,1.637
0.965819,-0.9246,-1.5150,1.0164,2.045
0.975788,-1.0406,-1.5027,1.3864,2.294
0.989593,-1.2854,-1.4984,1.7515,2.639
0.995888,-1.7585,-1.5558,1.6877,2.892
1.005703,-2.1870,-1.5486,1.1147,2.902
1.015911,-2.3110,-1.4540,0.5113,2.778
1.027343,-2.1987,-1.5216,0.3949,2.703
1.036127,-1.9493,-1.6876,0.7167,2.676
1.045653,-1.6445,-1.8916,1.2440,2.798
1.055611,-1.2674,-1.8909,1.8020,2.903
1.066171,-1.0116,-1.8279,2.2324,3.057
1.076347,-0.9311,-1.6877,2.2305,2.948
1.085679,-0.8650,-1.5212,1.9047,2.587
1.097987,-0.7986,-1.2048,1.3917,2.007
1.106412,-0.8605,-1.0740,0.9654,1.681
1.115990,-0.8799,-1.1669,0.9223,1.728
1.133585,-0.6530,-1.0902,1.1593,1.720
1.136249,-0.4961,-0.9222,1.5287,1.853
1.146276,-0.4247,-0.8528,1.6036,1.865
1.155731,-0.5139,-0.8163,1.8690,2.103
1.165758,-0.8923,-0.7066,2.1654,2.446
1.175768,-1.3828,-0.6942,2.1717,2.667
1.186420,-1.6604,-0.5745,2.0496,2.700
1.196020,-1.6261,-0.3285,1.9950,2.595
1.207832,-1.5644,-0.1899,1.6266,2.265
1.215929,-1.5115,-0.0560,1.3551,2.031
1.226482,-1.4556,0.0953,1.1975,1.887
1.236092,-1.5377,0.1184,1.1814,1.943
1.245907,-1.7573,0.1114,1.1792,2.119
1.274071,-2.0531,0.0242,1.1326,2.345
1.274805,-2.1966,0.0715,1.1210,2.467
1.276064,-2.1956,0.0943,1.0161,2.421
1.285697,-2.1850,0.1218,0.8291,2.340
1.295920,-2.0835,0.1737,0.6989,2.204
1.306156,-1.8500,0.1913,0.7643,2.011
1.315906,-1.5915,0.0863,0.9275,1.844
1.325781,-1.3066,-0.0630,0.9541,1.619
1.338828,-1.0837,-0.1475,0.8258,1.370
1.346652,-0.9368,-0.2341,0.7469,1.221
1.355809,-0.8100,-0.2830,0.6767,1.093
1.365832,-0.8133,-0.3421,0.6245,1.081
1.375917,-0.8176,-0.3513,0.4649,1.004
1.390164,-0.8631,-0.3197,0.4238,1.013
1.396289,-0.9493,-0.4630,0.4524,1.149
1.413401,-1.0641,-0.7712,0.4743,1.397
1.416315,-0.8925,-0.8231,0.7745,1.440
1.426588,-0.5831,-0.8455,1.2428,1.612
1.436236,-0.3547,-0.8983,1.6108,1.878
1.445967,-0.2383,-0.8748,1.9343,2.136
1.456264,-0.1645,-0.7566,1.9480,2.096
1.467235,-0.1599,-0.6127,1.6536,1.771
1.475998,-0.2843,-0.5205,1.3357,1.461
1.486073,-0.5471,-0.5282,1.1722,1.397
1.496030,-0.7508,-0.5460,1.0773,1.422
1.506458,-0.7379,-0.3886,1.1097,1.388
1.519716,-0.6552,-0.2239,1.0425,1.251
1.526077,-0.5153,-0.1014,1.0099,1.138
1.542935,-0.3682,-0.0792,0.9135,0.988
1.546249,-0.2713,0.0786,0.8047,0.853
1.556051,-0.3604,0.0301,0.5289,0.641
1.566021,-0.5276,-0.0762,0.4607,0.705
