time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002021,0.0716,-0.6051,-1.5377,1.654
0.006933,0.4877,-0.0162,0.5734,0.753
0.012971,1.1852,0.4333,1.8238,2.218
0.022791,1.3399,0.6753,2.5262,2.938
0.033006,1.2947,0.6873,2.4440,2.850
0.043445,0.7452,0.2057,2.0176,2.161
0.054569,0.3697,-0.2425,1.1285,1.212
0.062889,0.0081,-0.2412,0.4732,0.531
0.074172,-0.4742,-0.7173,-0.5366,1.014
0.083508,-0.7191,-1.0647,-1.5181,1.989
0.092712,-0.9503,-1.0772,-2.0298,2.487
0.103270,-1.0234,-0.9700,-2.0612,2.497
0.112794,-0.8707,-0.5804,-1.5723,1.889
0.125259,-0.1348,0.0238,-0.9057,0.916
0.132643,0.4985,0.4118,-0.5615,0.856
0.142778,0.5809,0.4569,-0.3638,0.824
0.152793,0.2996,0.3959,-0.3619,0.614
0.163566,-0.0195,0.3436,-0.5856,0.679
0.172787,-0.3098,0.2891,-0.8388,0.940
0.184872,-0.5080,0.2529,-0.9749,1.128
0.192983,-0.5297,0.1071,-0.9942,1.132
0.203621,-0.3942,0.0874,-1.0142,1.092
0.212840,-0.3277,0.0477,-1.0643,1.115
0.223048,-0.2584,-0.0309,-0.9675,1.002
0.233525,-0.3618,-0.1177,-0.7234,0.817
0.243665,-0.5167,0.0815,-0.4692,0.703
0.253346,-0.5054,0.2899,-0.1852,0.611
0.262639,-0.4589,0.4157,0.1082,0.629
0.272891,-0.3652,0.5751,0.2053,0.712
0.283234,-0.3295,0.8264,0.1158,0.897
0.292847,-0.3126,0.9657,0.0067,1.015
0.302885,-0.2669,1.0843,-0.0531,1.118
0.313565,-0.3492,1.0981,-0.0436,1.153
0.323598,-0.4681,0.9609,0.0846,1.072
0.332743,-0.6607,0.6456,0.4496,1.027
0.342716,-0.8141,0.4464,0.7178,1.174
0.352983,-0.9529,0.3618,0.8693,1.340
0.364498,-1.0110,0.2325,0.8938,1.369
0.372844,-0.9041,0.2509,0.9479,1.334
0.382789,-0.7629,0.2954,0.9330,1.241
0.392768,-0.7280,0.3718,0.8878,1.207
0.403614,-0.6943,0.3790,0.8510,1.162
0.412746,-0.6245,0.3349,0.8028,1.071
0.422743,-0.6352,0.2011,0.5864,0.888
0.432758,-0.6349,0.1079,0.3884,0.752
0.443813,-0.5619,0.0499,0.3761,0.678
0.452717,-0.4101,-0.0963,-0.0285,0.422
0.462860,-0.4437,-0.1221,-0.3742,0.593
0.473385,-0.4798,-0.1409,-0.7190,0.876
0.484094,-0.5682,-0.2002,-1.0430,1.204
0.502592,-0.5960,-0.2514,-1.1698,1.337
0.503314,-0.5489,-0.2457,-0.9817,1.151
0.512998,-0.4385,-0.1765,-0.5770,0.746
0.524837,-0.2355,-0.0867,-0.1230,0.279
0.532894,-0.0077,0.0586,0.2520,0.259
0.542815,0.2970,0.1680,0.4988,0.604
0.552749,0.4342,0.1027,0.5483,0.707
0.563740,0.4245,0.0198,0.4987,0.655
0.572754,0.2493,-0.2838,0.1345,0.401
0.582762,0.0861,-0.3821,-0.1217,0.410
0.592777,0.0605,-0.3090,-0.1910,0.368
0.603506,0.1247,-0.2095,-0.0927,0.261
0.612793,0.2780,-0.1920,0.1340,0.363
0.626969,0.3949,-0.1971,0.3814,0.583
0.632878,0.4289,-0.1951,0.4715,0.667
0.643573,0.4116,-0.2285,0.4643,0.661
0.652740,0.3670,-0.2823,0.3589,0.586
0.662761,0.2932,-0.3676,0.1161,0.484
0.672827,0.2187,-0.4058,-0.1269,0.478
0.683185,0.2394,-0.3078,-0.1347,0.413
0.693086,0.3633,-0.2006,-0.0839,0.423
0.703624,0.4546,-0.0846,-0.0726,0.468
0.712920,0.5734,-0.0281,0.0171,0.574
0.723668,0.5522,-0.0117,0.1360,0.569
0.733127,0.5495,0.0029,0.0977,0.558
0.743010,0.4384,-0.0819,-0.0584,0.450
0.759749,0.3368,-0.0783,-0.2341,0.418
0.763286,0.3131,-0.0724,-0.3115,0.448
0.790859,0.3170,0.0148,-0.2217,0.387
0.791567,0.3388,0.1240,-0.0630,0.366
0.793229,0.3799,0.2239,-0.0023,0.441
0.803712,0.3814,0.2245,0.0091,0.443
0.813005,0.3616,0.2229,0.0300,0.426
0.822985,0.3206,0.2090,0.0407,0.385
0.832994,0.2889,0.2517,0.0019,0.383
0.843320,0.2950,0.2722,-0.0176,0.402
0.852847,0.3178,0.3198,0.0800,0.458
0.862823,0.3583,0.4035,0.1967,0.574
0.872979,0.4576,0.5327,0.2834,0.757
0.888716,0.4891,0.5301,0.2125,0.752
0.893158,0.4442,0.4266,0.1119,0.626
0.920114,0.2864,0.3532,-0.0962,0.465
0.920765,0.1248,0.3127,-0.3332,0.474
0.923631,-0.0023,0.2380,-0.5496,0.599
0.934446,-0.0985,0.0897,-0.5984,0.613
0.942945,-0.2050,-0.0056,-0.4898,0.531
0.953574,-0.3603,-0.0885,-0.4199,0.560
0.963682,-0.4085,-0.1220,-0.2912,0.516
0.972899,-0.3413,-0.0598,-0.2217,0.411
0.983028,-0.3358,-0.0707,-0.1236,0.365
0.992839,-0.3326,-0.1170,-0.1148,0.371
