time,ax,ay,az,atotal
0.0032248497009277344,-0.03,-0.14,-0.06,0.15
0.004695892333984375,0.15,0.15,-0.07,0.22
0.006167888641357422,-0.05,-0.08,-0.1,0.13
0.010879039764404297,-0.38,0.12,0.16,0.42
0.020970821380615234,-0.22,0.1,0.2,0.31
0.030891895294189453,0.15,-0.14,0.2,0.28
0.04083681106567383,0.06,-0.06,0.09,0.12
0.05089902877807617,-0.07,0.02,0.01,0.07
0.06038379669189453,-0.06,0.0,0.01,0.06
0.07103681564331055,0.06,0.01,-0.03,0.06
0.08414292335510254,0.06,0.0,-0.07,0.09
0.10347390174865723,0.03,0.0,-0.04,0.05
0.10532689094543457,0.07,-0.04,-0.01,0.08
0.11038875579833984,0.04,-0.03,0.07,0.08
0.12138175964355469,-0.02,-0.01,0.16,0.16
0.130112886428833,-0.04,-0.03,0.13,0.13
0.14014792442321777,-0.03,-0.04,0.08,0.09
0.150054931640625,0.06,-0.02,0.18,0.19
0.16235589981079102,0.17,-0.07,0.25,0.31
0.17023372650146484,0.17,-0.09,0.15,0.24
0.18335485458374023,0.01,-0.01,0.04,0.04
0.20120882987976074,-0.11,0.02,0.03,0.11
0.2028670310974121,-0.08,0.04,0.03,0.09
0.20957183837890625,-0.03,0.04,-0.02,0.05
0.22168684005737305,-0.07,0.03,-0.05,0.09
0.22944283485412598,-0.06,0.01,-0.02,0.06
0.23909687995910645,0.0,-0.04,0.1,0.1
0.24971580505371094,0.03,-0.1,0.24,0.26
0.2619168758392334,0.07,-0.09,0.27,0.29
0.2712278366088867,0.06,-0.05,0.19,0.2
0.2818460464477539,-0.01,0.01,0.12,0.12
0.29955577850341797,-0.1,0.04,0.03,0.11
0.3011298179626465,-0.07,0.03,-0.08,0.11
0.3087577819824219,0.03,0.05,-0.14,0.15
0.32242298126220703,0.07,0.07,-0.08,0.12
0.32854390144348145,0.02,0.01,0.01,0.02
0.3384089469909668,-0.09,-0.01,0.04,0.09
0.34827685356140137,-0.17,0.02,0.06,0.18
0.36067986488342285,-0.17,0.02,0.02,0.17
0.3708357810974121,-0.12,0.0,0.03,0.12
0.38131284713745117,-0.03,0.04,-0.01,0.05
0.4022817611694336,-0.01,0.09,-0.06,0.1
0.40381789207458496,-0.05,0.07,-0.06,0.1
0.40778684616088867,-0.03,0.05,-0.07,0.09
0.42189884185791016,-0.03,0.04,-0.11,0.12
0.4276547431945801,-0.03,0.04,-0.1,0.11
0.43781375885009766,0.03,0.02,-0.09,0.09
