time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001577,0.2747,0.0690,-1.3381,1.368
0.010432,0.9475,0.4164,-1.8221,2.096
0.015922,1.4807,0.4872,-1.6391,2.262
0.026492,1.8185,0.4358,-1.6684,2.506
0.035391,2.0248,0.3947,-1.8482,2.770
0.045361,1.8640,0.4012,-1.9130,2.701
0.058219,1.5273,0.3571,-2.2153,2.714
0.065616,1.1615,0.3228,-2.1871,2.497
0.076404,0.8205,0.1794,-2.4255,2.567
0.094854,0.8617,0.0245,-2.8706,2.997
0.095912,1.5045,0.1735,-3.1124,3.461
0.107816,2.3489,0.1686,-2.9178,3.750
0.115421,2.9827,0.1364,-2.8847,4.152
0.126450,3.2202,0.0478,-2.9736,4.383
0.164792,2.9622,0.1325,-2.7840,4.067
0.165315,2.1669,-0.5036,-3.5319,4.174
0.165574,1.3779,-0.9383,-3.3830,3.771
0.168978,1.2790,-0.7947,-1.7796,2.331
0.175949,1.2475,-0.7933,-1.2749,1.952
0.185257,0.9696,-1.0237,-1.4120,1.995
0.195286,0.9620,-1.1335,-1.3282,1.994
0.205593,1.2087,-1.1540,-1.7484,2.419
0.216759,1.4051,-1.1888,-2.1820,2.855
0.225444,1.6996,-1.2801,-2.6408,3.391
0.235382,2.1988,-1.2089,-2.8336,3.785
0.245562,2.5542,-1.0815,-2.5973,3.800
0.259535,2.4815,-1.0745,-2.5102,3.690
0.265396,2.2163,-1.2088,-2.5030,3.555
0.275464,2.0140,-1.2905,-2.5849,3.522
0.288416,1.9050,-1.2194,-2.8373,3.629
0.296078,1.6867,-1.1941,-3.0122,3.653
0.305539,1.5954,-1.3583,-3.4450,4.032
0.315311,1.5354,-1.3918,-3.5626,4.121
0.325561,1.4820,-1.4794,-3.7071,4.258
0.335824,1.3498,-1.5532,-3.9657,4.468
0.345253,1.1861,-1.6837,-4.3381,4.802
0.355332,1.2898,-1.8418,-4.4430,4.980
0.365480,1.6609,-1.6953,-3.7603,4.447
0.376102,2.1643,-1.3387,-4.8326,5.462
0.385566,1.9733,-1.9053,-4.9541,5.663
0.404616,0.8157,-2.6883,-6.2643,6.865
0.405752,0.5690,-2.5615,-6.6601,7.158
0.415974,0.5656,-2.4985,-6.7171,7.189
0.425617,0.6664,-2.6030,-6.8828,7.389
0.435337,0.7718,-3.1975,-6.6300,7.401
0.445399,1.0138,-3.5561,-6.3318,7.332
0.456049,1.2226,-3.8654,-6.3510,7.535
0.465620,1.3315,-4.4459,-7.0326,8.426
0.475846,1.2296,-4.9631,-6.1051,7.963
0.485593,0.9259,-5.4044,-5.0275,7.439
0.496039,0.4598,-5.8413,-4.5928,7.445
0.505616,-0.0252,-6.2080,-3.7215,7.238
0.516092,-0.2600,-6.4170,-2.6806,6.959
0.527072,-0.3849,-6.1974,-1.6013,6.412
0.536282,-0.7656,-6.0987,-1.0427,6.234
0.551556,-1.2129,-6.0762,-1.0303,6.281
0.555493,-1.4373,-5.8740,-1.2976,6.185
0.565389,-1.5805,-5.7125,-1.6202,6.145
0.576098,-1.6916,-5.5838,-1.8533,6.122
0.585444,-1.7266,-5.5404,-1.6489,6.033
0.595579,-1.5114,-5.5217,-0.8658,5.790
0.605518,-1.1398,-5.3245,0.1383,5.447
0.616408,-0.6822,-5.0237,1.0255,5.172
0.625429,-0.4205,-4.6731,1.4798,4.920
0.635348,-0.5785,-4.4622,1.5490,4.759
0.645656,-1.1799,-4.4405,1.4817,4.828
0.657422,-2.0245,-4.4592,1.6120,5.156
0.665706,-2.9201,-4.3529,2.0750,5.637
0.687109,-3.8421,-4.3009,2.7766,6.401
0.687776,-4.6776,-4.3646,3.4541,7.271
0.696342,-4.8891,-4.1936,4.0360,7.601
0.705540,-4.3479,-3.8009,4.4360,7.282
0.715445,-3.5251,-3.3135,4.5374,6.633
0.725842,-2.9559,-3.1402,4.3037,6.093
0.736020,-2.5935,-3.0992,3.9298,5.637
0.746022,-2.4163,-2.9891,3.7523,5.371
0.755464,-2.5272,-2.9632,3.9305,5.533
0.765541,-2.8866,-3.0594,4.3197,6.029
0.776299,-3.2033,-3.0237,4.9903,6.656
0.787522,-3.2720,-2.8393,5.7250,7.179
0.795881,-3.1754,-2.5781,6.2728,7.489
0.805671,-3.0484,-2.2325,6.3723,7.408
0.816202,-3.0475,-1.9893,6.1671,7.161
0.825899,-3.0559,-1.7290,5.7463,6.734
0.876046,-2.8003,-1.3522,5.3165,6.159
0.876604,-2.6089,-0.9454,4.9960,5.715
0.876880,-2.7285,-0.7028,4.7194,5.496
0.877069,-3.2364,-0.6723,4.6855,5.734
0.877286,-3.7616,-0.7166,4.5735,5.965
0.885721,-3.7449,-0.5222,4.4047,5.805
0.895946,-3.4303,-0.2469,4.1478,5.388
0.905519,-3.1357,-0.1070,3.6633,4.823
0.915467,-2.7089,0.0055,3.1272,4.137
0.925504,-2.3283,0.1011,2.5018,3.419
0.936249,-1.9871,0.0251,2.0175,2.832
0.946773,-1.5205,0.0628,1.4902,2.130
0.963084,-1.2963,0.1172,0.8132,1.535
0.971152,-1.2194,0.0525,-0.3349,1.266
0.976165,-1.1119,0.0297,-1.0271,1.514
0.985926,-0.9922,0.2196,-1.6516,1.939
0.995848,-0.8699,0.1946,-1.3526,1.620
1.005741,-0.7576,0.0546,-0.3928,0.855
1.016442,-0.7417,-0.0453,0.5906,0.949
1.025539,-0.7785,-0.3060,1.4377,1.663
1.035714,-0.7378,-0.5456,1.9875,2.189
1.045518,-0.6226,-0.7774,2.3822,2.582
1.055876,-0.5784,-0.8567,2.3233,2.543
1.065564,-0.6494,-1.0010,2.0808,2.399
1.075442,-0.5947,-1.0048,1.8872,2.219
1.085734,-0.3976,-0.8205,1.5723,1.818
1.115926,-0.2140,-0.7529,0.8121,1.128
1.116628,0.0260,-0.7413,-0.0848,0.747
1.116804,0.2931,-0.6153,-0.9444,1.165
1.125773,0.5561,-0.5476,-1.6126,1.792
1.136135,0.7346,-0.5343,-2.0738,2.264
1.145879,0.9034,-0.5434,-2.3836,2.606
1.155539,0.9880,-0.5434,-2.5025,2.745
1.165603,0.9614,-0.5425,-2.2447,2.501
1.176299,0.8185,-0.4917,-1.7897,2.028
1.185697,0.4991,-0.4517,-1.2003,1.376
1.195908,-0.0246,-0.3368,-0.5685,0.661
1.205562,-0.6797,-0.2582,-0.1531,0.743
1.216369,-1.4590,-0.2382,-0.0045,1.478
1.228197,-2.0527,-0.2384,0.2606,2.083
1.236053,-2.2782,-0.2698,0.6037,2.372
1.267957,-2.1700,-0.2455,0.8085,2.329
1.268590,-1.8359,-0.3528,0.8728,2.063
1.268805,-1.3058,-0.4254,0.7368,1.559
1.275401,-0.6908,-0.4726,0.6551,1.063
1.286346,-0.1707,-0.5131,0.5297,0.757
1.295982,0.2529,-0.5068,0.2831,0.633
1.305456,0.4608,-0.4624,-0.0243,0.653
1.315544,0.4709,-0.4574,-0.2838,0.715
1.325853,0.3995,-0.3826,-0.4150,0.692
1.336302,0.2862,-0.2761,-0.4645,0.611
1.345927,0.1999,-0.1865,-0.3435,0.439
1.355474,0.1313,-0.1142,-0.0229,0.176
1.365598,0.0615,-0.0407,0.2601,0.270
1.399200,-0.0386,-0.0165,0.3856,0.388
1.399740,-0.0815,-0.0033,0.3803,0.389
1.400007,-0.0869,0.0082,0.2930,0.306
1.406833,-0.0439,0.0285,0.1839,0.191
1.416233,0.1078,0.0094,0.1335,0.172
1.425601,0.2506,-0.0095,0.2603,0.361
1.435526,0.3452,-0.0084,0.4569,0.573
1.445608,0.2442,-0.1056,0.5946,0.651
1.456013,0.0169,-0.2039,0.6326,0.665
1.465532,-0.2775,-0.2553,0.6084,0.716
1.475589,-0.5688,-0.3099,0.4718,0.801
1.485564,-0.6590,-0.3392,0.2218,0.774
1.496256,-0.6060,-0.2252,-0.2188,0.683
1.508386,-0.6182,-0.1135,-0.8287,1.040
1.515680,-0.5816,-0.0896,-1.1336,1.277
1.541059,-0.4774,-0.0046,-1.2974,1.382
1.541859,-0.3456,-0.0437,-1.2890,1.335
1.545595,-0.1468,-0.1378,-1.2352,1.252
1.570790,0.0603,-0.1789,-1.1452,1.161
1.577164,0.2356,-0.1962,-0.9706,1.018
1.577724,0.3674,-0.2198,-0.6834,0.806
1.586965,0.5432,-0.2113,-0.2564,0.637
1.595616,0.7439,-0.2210,0.1221,0.786
1.605703,0.8712,-0.2208,0.5478,1.053
1.616064,0.8384,-0.2412,0.8722,1.234
1.625917,0.6782,-0.2045,1.0463,1.264
1.636261,0.4500,-0.1406,1.1090,1.205
1.645851,0.0851,-0.1378,1.0794,1.091
1.668821,-0.2878,-0.1379,0.9570,1.009
1.669373,-0.6482,-0.1020,0.7023,0.961
1.675512,-0.9357,-0.0698,0.2370,0.968
1.685489,-1.0807,-0.0112,-0.3101,1.124
1.695850,-1.1037,-0.0231,-0.8291,1.381
1.705591,-1.1046,0.0138,-1.1020,1.560
1.715916,-0.9363,-0.0366,-1.4900,1.760
1.725599,-0.7669,-0.0756,-1.8156,1.972
1.736267,-0.4611,-0.1308,-1.9196,1.979
1.745598,-0.2160,-0.2106,-1.8393,1.864
1.755524,0.0261,-0.2258,-1.4261,1.444
1.765671,0.2063,-0.1862,-0.7980,0.845
1.776074,0.2454,-0.1128,-0.0950,0.286
1.785981,0.2016,-0.0665,0.5515,0.591
1.813998,0.1064,-0.0893,1.1377,1.146
1.814495,-0.0468,-0.1741,1.4340,1.445
1.816258,-0.1282,-0.2545,1.4082,1.437
1.825586,-0.0676,-0.2721,1.1676,1.201
1.835663,0.0263,-0.2554,0.8019,0.842
1.846024,0.1127,-0.2128,0.3621,0.435
1.856142,0.0812,-0.1520,-0.0019,0.172
1.865711,0.0577,-0.1305,-0.2885,0.322
1.875492,0.0131,-0.0688,-0.4660,0.471
1.885771,-0.0632,-0.0349,-0.5043,0.509
1.896255,-0.1513,-0.0285,-0.4910,0.515
1.905632,-0.2114,0.0087,-0.4067,0.458
1.916096,-0.1933,0.0179,-0.3301,0.383
1.929392,-0.1557,0.0084,-0.1930,0.248
1.935974,-0.0596,-0.0299,-0.0452,0.081
1.962853,-0.0020,-0.1075,-0.0051,0.108
1.963228,0.0074,-0.2150,-0.0535,0.222
1.965526,-0.0128,-0.2249,-0.0834,0.240
1.976127,-0.0828,-0.2352,-0.1340,0.283
1.985674,-0.1718,-0.3146,-0.0969,0.371
1.995717,-0.0921,-0.2965,-0.0108,0.311
2.005528,0.0487,-0.1716,0.0448,0.184
2.015963,0.0827,-0.1167,0.0005,0.143
2.026332,0.1174,-0.0820,-0.0838,0.166
2.035503,0.1516,-0.0178,-0.1092,0.188
2.045590,0.0964,0.0076,-0.1736,0.199
2.060680,-0.0084,-0.0154,-0.3159,0.316
2.065821,-0.1432,-0.0178,-0.4171,0.441
2.091084,-0.2890,-0.0090,-0.3791,0.477
2.092483,-0.3778,0.0014,-0.1624,0.411
2.096202,-0.4095,0.0816,0.1142,0.433
2.106440,-0.3630,0.1125,0.2531,0.457
2.116506,-0.2667,0.0837,0.2927,0.405
2.125796,-0.1109,0.0347,0.3705,0.388
2.136233,0.0559,-0.0541,0.4087,0.416
2.145717,0.2351,-0.1930,0.3580,0.470
2.155549,0.3472,-0.2543,0.2673,0.507
2.165557,0.4508,-0.3353,0.2456,0.613
2.175916,0.4470,-0.3666,0.3136,0.658
2.185498,0.3941,-0.4076,0.3523,0.668
2.195715,0.3123,-0.3706,0.3415,0.593
2.207653,0.1526,-0.3446,0.2111,0.432
2.216624,0.0041,-0.2515,-0.0489,0.256
2.245476,-0.1525,-0.1403,-0.4284,0.476
2.246501,-0.2809,0.0095,-0.7800,0.829
2.246871,-0.3534,0.0916,-0.9846,1.050
2.256056,-0.3505,0.1949,-1.1286,1.198
2.266124,-0.3311,0.2325,-1.0924,1.165
2.275726,-0.2662,0.2341,-0.8265,0.899
2.286292,-0.1539,0.2774,-0.4786,0.574
2.296192,-0.0224,0.2538,-0.2061,0.328
2.305459,0.0587,0.2121,0.1077,0.245
2.315422,0.0687,0.1026,0.4809,0.496
2.326256,-0.0209,-0.0265,0.7942,0.795
2.336709,-0.1207,-0.1475,1.0065,1.024
2.345806,-0.2492,-0.1928,1.0867,1.131
2.367743,-0.3959,-0.2416,0.9653,1.071
2.368849,-0.5791,-0.2741,0.7506,0.987
2.376320,-0.6502,-0.2805,0.3946,0.811
2.385766,-0.6280,-0.2992,0.0268,0.696
2.396736,-0.4732,-0.3584,-0.2821,0.657
2.406089,-0.1965,-0.3297,-0.5111,0.639
2.416426,0.0630,-0.2415,-0.7183,0.760
2.425552,0.1553,-0.2006,-0.8931,0.928
2.437278,0.2250,-0.1566,-0.8381,0.882
2.445682,0.3203,-0.0696,-0.6214,0.703
2.456335,0.3436,-0.0386,-0.3129,0.466
2.465687,0.3950,-0.0159,-0.1298,0.416
2.475662,0.4645,-0.0417,-0.0053,0.466
2.485927,0.4626,-0.1067,0.0885,0.483
2.520103,0.3786,-0.2012,0.1512,0.455
2.521111,0.2618,-0.2272,0.2316,0.417
2.521511,0.1717,-0.1654,0.3296,0.407
2.525775,0.0994,-0.1531,0.4552,0.490
2.536235,0.0080,-0.1809,0.6091,0.635
2.546593,-0.0913,-0.2295,0.7715,0.810
2.555428,-0.1666,-0.2313,0.8338,0.881
2.565480,-0.3343,-0.3151,0.6965,0.834
2.575972,-0.5069,-0.2747,0.5162,0.774
2.586153,-0.7721,-0.3153,0.4027,0.926
2.595827,-0.9717,-0.4150,0.5566,1.194
2.605560,-0.8600,-0.2203,0.9595,1.307
2.616347,-0.8221,-0.0467,1.3621,1.592
2.629538,-0.9674,-0.1208,1.4577,1.754
2.635856,-1.0499,-0.1689,1.3539,1.722
2.664598,-1.2012,-0.2691,1.5587,1.986
2.666123,-1.3829,-0.4892,2.1029,2.564
2.666600,-1.1272,-0.4378,2.7826,3.034
2.676215,-1.1209,-0.2457,3.5238,3.706
2.685633,-1.2126,-0.4069,3.3322,3.569
2.696660,-1.2720,-0.5221,2.4022,2.768
2.706056,-1.3027,-0.4029,1.2951,1.881
2.715857,-1.1644,-0.1416,0.1846,1.187
2.725901,-1.3204,0.0249,-0.3050,1.355
2.735996,-1.6354,0.0251,-0.4107,1.686
2.745802,-1.9030,-0.0216,-0.1310,1.908
2.755574,-2.1313,-0.1066,0.4446,2.180
2.765789,-2.1812,-0.1541,1.3616,2.576
2.793670,-2.0793,-0.1695,2.2602,3.076
2.795040,-1.8424,-0.1293,2.9965,3.520
2.795847,-1.6635,-0.1652,3.4879,3.868
2.806126,-1.4607,-0.2213,3.7425,4.024
2.816029,-1.3101,-0.2892,3.8386,4.066
2.825741,-1.1818,-0.3990,3.7668,3.968
2.835423,-1.1252,-0.5218,3.4585,3.674
2.845744,-0.9738,-0.5686,2.7685,2.989
2.856214,-0.8098,-0.5760,2.0329,2.263
2.865464,-0.7660,-0.6377,1.5682,1.858
2.875465,-0.7544,-0.7984,1.3207,1.718
2.885597,-0.6744,-0.9579,1.2453,1.710
2.896292,-0.6243,-1.1345,1.3624,1.880
2.906720,-0.4769,-1.2498,1.2888,1.858
2.916079,-0.2747,-1.2835,1.0136,1.658
2.942424,-0.4259,-1.4393,0.9467,1.775
2.943485,-0.5333,-1.5523,1.0442,1.945
2.945668,-0.7718,-1.7224,1.2266,2.251
2.955607,-1.0380,-1.8447,1.3862,2.530
2.965968,-1.4816,-2.1677,1.7104,3.134
2.976071,-1.5339,-2.2150,1.8283,3.256
2.985649,-1.2955,-1.9611,1.6233,2.856
2.995549,-1.1496,-1.8685,1.2808,2.540
3.005697,-0.8318,-1.7472,0.6083,2.028
3.016431,-0.6277,-1.6529,-0.3426,1.801
3.025551,-0.4040,-1.4689,-1.2926,1.998
3.035532,-0.1937,-1.2364,-1.8710,2.251
3.045577,0.0317,-1.1458,-2.2766,2.549
3.056238,-0.1269,-1.3009,-2.2079,2.566
3.087602,-0.6414,-1.4944,-1.3814,2.134
3.088887,-0.9864,-1.6731,-0.6366,2.044
3.089500,-0.8120,-1.7097,-0.0789,1.894
3.096255,-1.4048,-2.1792,1.2918,2.897
3.105547,-2.2960,-2.2699,7.6267,8.282
3.121594,-2.5899,-2.3906,5.9164,6.887
3.125839,-0.4298,-1.5349,4.0784,4.379
3.139679,0.0642,-2.4565,1.1573,2.716
3.145603,0.3953,-2.0534,1.7818,2.747
3.155560,0.2311,-2.1110,2.1964,3.055
3.170283,0.2580,-2.2685,1.6458,2.814
3.176328,0.1888,-2.1235,-0.6841,2.239
3.187856,-0.3878,-1.7635,-3.5587,3.991
3.203119,0.6402,-1.1086,-3.9195,4.123
3.205443,0.4375,-1.1719,-4.3289,4.506
3.248144,0.3066,-1.1446,-3.9167,4.092
3.249649,0.2450,-1.2273,-3.4236,3.645
3.250320,0.3858,-1.4531,-2.5149,2.930
3.250942,0.3009,-1.6045,-2.0151,2.593
3.256648,-0.2888,-2.0193,-3.9424,4.439
3.267115,0.4085,-2.2115,-3.8627,4.470
3.275451,0.1549,-1.6782,-0.3732,1.726
3.286386,0.4126,-2.0258,0.8914,2.251
3.301245,0.0805,-2.0632,1.8993,2.805
3.305302,-0.2491,-1.6156,1.2729,2.072
3.320857,-0.4515,-1.3825,-0.7765,1.649
3.325534,-0.6836,-1.4273,-2.7627,3.184
3.336118,-2.1971,-2.0671,-3.2704,4.449
3.373613,-1.9863,-1.8151,-1.8694,3.276
3.375286,0.3995,-0.1497,0.1624,0.456
3.375948,2.3624,0.4521,-0.4141,2.441
3.376787,1.9961,-0.4731,-1.0315,2.296
3.385554,0.3625,-1.3701,-1.2325,1.878
3.395651,-0.6296,-1.3713,-1.2198,1.940
3.405536,-0.6863,-1.0505,-1.5121,1.965
3.416133,-0.7434,-0.8281,-3.7095,3.873
3.425489,-0.7394,-1.1519,-2.6975,3.025
3.435396,-1.4380,-2.9310,-2.9585,4.406
3.445481,-1.4231,-2.6839,-2.7936,4.127
3.455806,-0.7949,-2.8644,-2.1002,3.640
3.465746,-0.1519,-3.1123,-1.9507,3.676
3.493408,-0.6222,-3.8675,-2.1973,4.491
