time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001936,0.1825,0.0699,-1.0459,1.064
0.006306,0.1631,0.0765,-0.7240,0.746
0.016362,0.1048,0.0771,-0.1113,0.171
0.026905,-0.3158,-0.1589,0.3239,0.479
0.036518,-0.4275,-0.1341,0.3387,0.562
0.046132,-0.3641,-0.1525,0.1984,0.442
0.056274,-0.3286,-0.1242,0.0890,0.362
0.066277,-0.3645,-0.1647,-0.0582,0.404
0.076618,-0.1068,-0.1749,-0.1162,0.236
0.088001,0.2379,0.0173,-0.0436,0.242
0.095944,0.3481,0.1091,-0.1706,0.403
0.105989,0.3201,0.0580,-0.4992,0.596
0.116572,0.1873,0.1058,-0.9257,0.950
0.126506,0.2390,0.1769,-1.2464,1.281
0.136171,0.2748,0.1851,-1.5024,1.539
0.146220,0.3423,0.1809,-1.4987,1.548
0.156648,0.3338,0.1164,-1.0397,1.098
0.165841,0.2343,-0.0882,-0.4574,0.521
0.175910,0.3900,-0.1523,0.0937,0.429
0.185839,0.3906,-0.1197,0.4008,0.572
0.196602,0.2308,-0.1991,0.5150,0.598
0.205877,0.1372,-0.2352,0.3786,0.466
0.216072,-0.0464,-0.3935,-0.0090,0.396
0.226020,-0.0683,-0.1500,-0.0719,0.180
0.237644,0.0007,-0.0232,-0.3800,0.381
0.246671,-0.0005,-0.0209,-0.4250,0.426
0.256237,0.2494,0.2105,-0.5412,0.632
0.266108,0.3822,0.3951,-0.3268,0.640
0.276410,0.2135,0.2971,-0.1637,0.401
0.285961,0.0918,0.1106,-0.1872,0.236
0.295805,-0.0196,-0.0769,-0.2493,0.262
0.305874,-0.1073,-0.2750,-0.4573,0.544
0.316539,-0.2000,-0.2475,-0.7035,0.772
0.325820,-0.2778,-0.2587,-1.1354,1.197
0.335815,-0.2225,-0.2580,-1.6652,1.700
0.345840,-0.0751,-0.1840,-2.0886,2.098
0.356595,0.0259,-0.2100,-2.4172,2.426
0.367121,0.0986,-0.3223,-2.4964,2.519
0.375781,0.0640,-0.4029,-2.3949,2.429
0.385814,-0.0664,-0.5607,-2.1705,2.243
0.396509,-0.1423,-0.6991,-1.8409,1.974
0.405917,-0.4299,-0.8015,-1.5912,1.833
0.415919,-1.3587,-1.0682,-2.2229,2.816
0.425835,-0.9910,-0.4206,-2.1946,2.444
0.436389,-0.7318,-0.3336,-2.4196,2.550
0.445880,-0.6011,-0.3367,-2.7114,2.798
0.456112,-0.3863,-0.4377,-2.9249,2.983
0.465953,-0.2456,-0.6119,-3.0918,3.161
0.476785,0.2232,-0.5025,-2.8509,2.903
0.486118,0.5565,-0.5035,-2.7314,2.833
0.496122,0.7484,-0.5774,-2.7610,2.918
0.506170,0.8630,-0.7348,-2.9082,3.121
0.516337,1.0607,-0.8087,-3.0738,3.351
0.525682,1.1093,-0.9754,-3.1491,3.478
0.535733,1.1366,-1.2443,-3.0062,3.446
0.545709,1.3455,-1.3722,-2.7235,3.333
0.556434,1.7934,-1.3834,-2.7412,3.556
0.565720,2.1946,-1.3303,-2.7547,3.765
0.575938,2.3302,-1.3405,-4.2329,5.014
0.586257,2.4594,-1.4261,-4.9829,5.737
0.596400,2.6543,-1.3796,-5.0421,5.863
0.606205,2.6211,-1.4445,-5.4561,6.223
0.615869,2.3953,-1.7650,-5.8305,6.546
0.625870,2.0440,-2.3751,-5.6164,6.431
0.636517,1.9837,-2.7322,-4.7620,5.838
0.645822,2.2339,-2.8523,-3.8724,5.303
0.655677,2.4276,-3.0190,-3.2113,5.032
0.665836,2.5608,-3.0415,-2.7786,4.851
0.676216,2.6199,-2.9930,-2.7224,4.820
0.685833,2.4944,-2.9823,-3.0534,4.944
0.695871,2.1052,-3.2714,-3.3600,5.140
0.705846,1.7781,-3.5695,-3.1601,5.088
0.716862,1.5711,-3.7176,-2.3648,4.678
0.725877,1.3611,-3.7804,-1.7756,4.393
0.736009,1.1912,-3.7948,-1.3913,4.214
0.746026,1.0336,-3.7558,-1.3000,4.107
0.756364,1.0304,-3.6355,-1.7157,4.150
0.766071,1.1791,-3.4997,-2.1390,4.268
0.776014,1.0238,-3.7243,-2.2760,4.483
0.786159,0.9451,-3.8228,-1.8898,4.368
0.797188,1.1282,-3.6207,-0.8969,3.897
0.807704,1.2698,-3.5078,-0.0205,3.731
0.816153,1.2512,-3.2854,0.4411,3.543
0.826164,1.1643,-3.0563,0.2905,3.283
0.836486,0.9544,-2.8683,-0.2550,3.034
0.846113,0.4554,-2.8143,-0.6541,2.925
0.857442,0.0440,-2.7038,-0.8138,2.824
0.866197,-0.2584,-2.6054,-0.5665,2.679
0.876949,-0.4679,-2.6386,-0.4600,2.719
0.886067,-0.6513,-2.6566,-0.3957,2.764
0.896220,-0.8887,-2.7079,-0.2072,2.858
0.906109,-1.0073,-2.8906,0.0644,3.062
0.916513,-0.9333,-2.9214,0.6315,3.131
0.925957,-0.7559,-2.8998,1.3059,3.269
0.938008,-0.6099,-2.7999,1.8500,3.411
0.945988,-0.6091,-2.7140,2.0255,3.441
0.956691,-0.6791,-2.6735,2.0377,3.429
0.965953,-1.0010,-2.9332,1.9075,3.639
0.975951,-1.4095,-3.1081,1.6696,3.799
0.987607,-1.5281,-3.0782,1.6411,3.808
0.996651,-1.6367,-3.1168,1.5842,3.860
1.005991,-1.8601,-3.3385,1.6949,4.181
1.016184,-1.9685,-3.4854,2.2489,4.591
1.026068,-1.7863,-3.3321,3.0885,4.882
1.036698,-1.5888,-3.1072,3.7771,5.143
1.046125,-1.5434,-2.9221,4.0234,5.207
1.056226,-1.6500,-2.7097,3.9604,5.074
1.068104,-1.7519,-2.4600,3.6852,4.765
1.076488,-1.8965,-2.3087,3.0236,4.251
1.088528,-2.1284,-2.2008,2.6919,4.077
1.096269,-2.0167,-1.9465,2.7092,3.898
1.106167,-1.7715,-1.4605,2.7246,3.563
1.117429,-1.7878,-1.2353,2.7151,3.478
1.126223,-1.9237,-0.9562,2.5653,3.346
1.136108,-2.1880,-0.8782,2.6472,3.545
1.146079,-2.3118,-0.7072,2.5485,3.513
1.156591,-2.4808,-0.7376,2.5227,3.614
1.166249,-2.4079,-0.6646,2.3555,3.433
1.176003,-2.1258,-0.4881,2.0846,3.017
1.186360,-1.8567,-0.3452,1.8066,2.613
1.197749,-1.7034,-0.1856,1.4936,2.273
1.206034,-1.7653,-0.1942,1.2758,2.187
1.216021,-1.9319,-0.2413,0.9237,2.155
1.226177,-1.9171,-0.2349,1.1225,2.234
1.236448,-2.0774,-0.3996,1.7470,2.744
1.246540,-2.1683,-0.7077,2.7152,3.546
