time,ax,ay,az,atotal
0.007901906967163086,0.84,0.23,-0.03,0.87
0.018538951873779297,-0.7,0.29,-0.35,0.83
0.028741121292114258,0.27,-0.03,-0.13,0.3
0.07557392120361328,0.15,0.0,-0.23,0.27
0.07601499557495117,0.14,0.03,-0.16,0.21
0.07644009590148926,-0.02,0.05,-0.27,0.27
0.07686305046081543,-0.17,0.06,-0.23,0.29
0.07778692245483398,-0.14,0.01,-0.16,0.21
0.08830904960632324,-0.01,0.01,-0.08,0.08
0.09836196899414062,0.13,0.02,-0.06,0.14
0.10773682594299316,0.13,-0.06,-0.07,0.15
0.1183919906616211,0.04,-0.1,-0.06,0.12
0.12840485572814941,0.09,-0.03,-0.08,0.12
0.1767129898071289,0.22,0.07,-0.08,0.24
0.17712998390197754,0.33,0.11,-0.14,0.37
0.1778709888458252,0.41,0.03,-0.17,0.44
0.17829203605651855,0.45,-0.07,-0.06,0.45
0.17871308326721191,0.39,-0.02,0.06,0.39
0.1881721019744873,0.29,0.07,0.09,0.31
0.1981198787689209,0.21,0.05,0.06,0.22
0.20763492584228516,0.17,0.08,-0.01,0.18
0.21815991401672363,-0.09,-0.05,0.01,0.1
0.22839093208312988,-0.12,0.06,-0.06,0.14
0.2762768268585205,-0.01,0.06,-0.07,0.09
0.27670979499816895,-0.09,-0.01,-0.03,0.09
0.2773919105529785,-0.18,0.04,-0.05,0.19
0.27780985832214355,-0.3,0.01,-0.05,0.3
0.2782127857208252,-0.31,-0.02,-0.06,0.31
0.2880079746246338,-0.22,0.03,-0.09,0.23
0.2980067729949951,-0.12,0.05,-0.11,0.17
0.3075277805328369,-0.12,0.01,-0.1,0.15
0.3182098865509033,-0.18,0.0,-0.09,0.2
0.32820796966552734,-0.26,-0.01,-0.06,0.26
0.3754849433898926,-0.27,-0.05,-0.07,0.28
0.375899076461792,-0.26,-0.04,-0.07,0.27
0.37630391120910645,-0.11,-0.02,-0.12,0.16
0.37672877311706543,-0.04,-0.08,-0.05,0.1
0.377453088760376,-0.02,-0.11,0.03,0.11
0.3878509998321533,-0.05,-0.05,0.12,0.13
0.39789509773254395,-0.17,-0.1,0.15,0.24
0.4073798656463623,-0.21,-0.03,0.07,0.22
0.4182119369506836,-0.18,0.01,-0.1,0.2
0.4281580448150635,-0.04,-0.02,-0.23,0.23
0.4762229919433594,0.17,0.02,-0.2,0.26
0.47667384147644043,0.25,0.11,-0.19,0.33
0.47742199897766113,0.29,0.18,-0.16,0.37
0.4778459072113037,0.51,0.11,-0.15,0.54
0.4782679080963135,0.31,-0.15,-0.05,0.34
0.4877607822418213,0.03,0.0,0.1,0.1
0.49764180183410645,0.18,-0.04,0.04,0.18
0.5072219371795654,0.22,0.06,0.06,0.23
0.5181279182434082,0.23,0.12,0.06,0.26
0.5279548168182373,0.25,0.16,0.03,0.29
0.5759170055389404,0.24,0.06,0.02,0.24
0.5763700008392334,0.17,-0.03,0.0,0.17
0.5771379470825195,0.16,-0.13,0.01,0.2
0.5775609016418457,0.31,-0.11,0.02,0.32
0.577988862991333,0.64,0.22,0.01,0.67
0.5876109600067139,-0.23,0.0,0.28,0.36
0.5976459980010986,-0.64,-0.17,0.1,0.66
0.6071310043334961,-0.31,-0.12,0.07,0.33
0.6179659366607666,-0.05,-0.04,0.14,0.15
0.6277589797973633,-0.01,-0.04,0.22,0.22
0.6765649318695068,-0.01,-0.07,0.19,0.2
0.6772959232330322,0.03,0.02,0.15,0.15
0.6777188777923584,0.1,0.06,0.08,0.14
0.6781418323516846,0.23,0.08,-0.04,0.24
0.6785590648651123,0.38,0.05,-0.1,0.39
0.6874368190765381,0.46,0.02,-0.06,0.46
0.697563886642456,0.39,0.03,0.05,0.39
0.7069799900054932,0.28,0.04,0.11,0.3
0.7179830074310303,0.19,0.05,0.19,0.27
0.7276217937469482,0.0,0.04,0.19,0.19
0.7766330242156982,-0.17,-0.09,0.08,0.2
0.7772557735443115,-0.24,-0.17,0.18,0.34
0.7776820659637451,-0.18,-0.13,0.24,0.32
0.7780869007110596,0.08,-0.13,0.3,0.33
0.7784898281097412,0.19,-0.09,0.37,0.42
0.7873029708862305,0.2,-0.07,0.29,0.35
0.7972469329833984,0.07,-0.07,0.24,0.25
0.8067739009857178,-0.08,-0.04,0.19,0.21
0.8178060054779053,-0.05,0.0,0.08,0.09
0.8275048732757568,0.07,-0.02,0.11,0.13
0.8766148090362549,-0.05,-0.09,0.18,0.2
