time,ax,ay,az,atotal
0.0012879371643066406,0.77,-0.76,-0.21,1.1
0.0018930435180664062,0.83,0.31,-0.75,1.16
0.0024690628051757812,0.15,0.58,-0.6,0.84
0.010234832763671875,0.03,-0.54,0.57,0.78
0.02026081085205078,0.42,-0.02,0.04,0.42
0.03024578094482422,0.39,0.07,-0.03,0.39
0.04014301300048828,0.37,-0.04,0.15,0.4
0.050171852111816406,0.01,0.0,-0.01,0.01
0.0600738525390625,-0.39,-0.07,0.08,0.4
0.07027196884155273,-0.56,-0.06,0.08,0.56
0.09865379333496094,-0.57,-0.04,0.04,0.57
0.0992119312286377,-0.39,-0.03,0.04,0.39
0.10021591186523438,-0.2,-0.03,0.05,0.2
0.10997676849365234,-0.1,-0.02,-0.04,0.1
0.1201779842376709,0.02,0.0,-0.09,0.09
0.13016986846923828,0.1,0.01,-0.15,0.18
0.14017891883850098,0.09,0.04,-0.25,0.26
0.1501908302307129,0.14,0.05,-0.33,0.36
0.16012001037597656,0.3,0.03,-0.31,0.43
0.17019891738891602,0.46,0.04,-0.17,0.49
0.20009088516235352,0.45,0.02,-0.04,0.45
0.2006988525390625,0.27,0.01,-0.02,0.27
0.20123791694641113,0.27,0.0,0.04,0.27
0.2100520133972168,0.32,-0.04,0.14,0.35
0.21986794471740723,0.15,-0.03,0.18,0.23
0.22990798950195312,-0.1,-0.01,0.07,0.12
0.2398519515991211,-0.16,-0.01,0.06,0.17
0.24991703033447266,-0.13,-0.08,0.17,0.22
0.26018810272216797,-0.16,-0.04,0.1,0.19
0.26985788345336914,-0.38,-0.03,-0.07,0.38
0.3001248836517334,-0.43,-0.03,-0.12,0.44
0.3007059097290039,-0.28,-0.04,-0.04,0.28
0.30127787590026855,-0.17,-0.03,0.0,0.17
0.3101339340209961,-0.15,-0.01,0.0,0.15
0.3197059631347656,-0.14,0.0,-0.06,0.15
0.32990503311157227,-0.06,0.01,-0.06,0.08
0.33963894844055176,0.04,0.0,-0.06,0.07
0.3497769832611084,0.03,-0.01,-0.11,0.11
0.3597140312194824,0.06,-0.01,-0.03,0.06
0.3698110580444336,0.21,-0.02,0.05,0.21
0.4006509780883789,0.33,-0.05,0.16,0.37
0.4012889862060547,0.26,-0.03,0.35,0.43
0.4018898010253906,-0.13,-0.03,0.16,0.2
